MonitorName,Latitude,Longitude
GUAYMARAL,4.7837556,-74.044183
USAQUEN,4.707306,-74.330417
SUBA,4.68025,-74.596111
BOLIVIA,4.736978,-74.555
LAS FERIAS,4.690722,-74.0986
CENTRO ALTO RENDIMIENTO,4.658556,-74.088556
MOVIL 7MA,4.640764,-74.870833
MINAMBIENTE,4.629306,-74.186944
FONTIBON,4.679722,-74.1425
PUENTE ARANDA,4.592444,-74.106667
KENNEDY,4.621389,-74.140833
CARVAJAL-SEVILLANA,4.589722,-74.2175
TUNAL,4.575556,-74.138889
SAN CRISTOBAL,4.5725,-74.086389
EL JAZMIN,4.601667,-74.898056
USME,4.731389,-74.116389
BOSA,4.671667,-74.245
CIUDAD BOLIVAR,4.577778,-74.165167
