Año,Mes,Estacion,Localidad,Fuente,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,dias_esperados,n_Temp,n_HR,n_Viento,n_Presion,n_Precip
2020,1,Bolivia,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Carvajal - Sevillana,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Centro de Alto Rendimiento,Barrios Unidos,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Ciudad Bolivar,Ciudad Bolívar,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Colina,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Guaymaral,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Kennedy,Kennedy,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Las Ferias,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,MinAmbiente,Teusaquillo,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Movil Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Puente Aranda,Puente Aranda,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,SUBA,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,San Cristobal,San Cristóbal,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Suba,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Tunal,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,1,Usaquen,Usaquén,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,2,Bolivia,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Carvajal - Sevillana,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Centro de Alto Rendimiento,Barrios Unidos,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Ciudad Bolivar,Ciudad Bolívar,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Colina,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Guaymaral,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Kennedy,Kennedy,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Las Ferias,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,MinAmbiente,Teusaquillo,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Movil Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Puente Aranda,Puente Aranda,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,SUBA,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,San Cristobal,San Cristóbal,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Suba,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Tunal,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,2,Usaquen,Usaquén,NASA_POWER,1.0,1.0,1.0,0.0,1.0,29,29,29,29,0,29
2020,3,Bolivia,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Carvajal - Sevillana,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Centro de Alto Rendimiento,Barrios Unidos,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Ciudad Bolivar,Ciudad Bolívar,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Colina,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Guaymaral,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Kennedy,Kennedy,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Las Ferias,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,MinAmbiente,Teusaquillo,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Movil Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Puente Aranda,Puente Aranda,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,SUBA,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,San Cristobal,San Cristóbal,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Suba,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Tunal,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,3,Usaquen,Usaquén,NASA_POWER,1.0,1.0,1.0,0.0,1.0,31,31,31,31,0,31
2020,4,Bolivia,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Carvajal - Sevillana,Tunjuelito,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Centro de Alto Rendimiento,Barrios Unidos,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Ciudad Bolivar,Ciudad Bolívar,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Colina,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Fontibon,Fontibón,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Guaymaral,Suba,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Kennedy,Kennedy,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
2020,4,Las Ferias,Engativá,NASA_POWER,1.0,1.0,1.0,0.0,1.0,30,30,30,30,0,30
