MPIO,DPMP,AÑO,Hombres 0 años,Hombres 1 año,Hombres 2 años,Hombres 3 años,Hombres 4 años,Hombres 5 años,Hombres 6 años,Hombres 7 años,Hombres 8 años,Hombres 9 años,Hombres 10 años,Hombres 11 años,Hombres 12 años,Hombres 13 años,Hombres 14 años,Hombres 15 años,Hombres 16 años,Hombres 17 años,Hombres 18 años,Hombres 19 años,Hombres 20 años,Hombres 21 años,Hombres 22 años,Hombres 23 años,Hombres 24 años,Hombres 25 años,Hombres 26 años,Hombres 27 años,Hombres 28 años,Hombres 29 años,Hombres 30 años,Hombres 31 años,Hombres 32 años,Hombres 33 años,Hombres 34 años,Hombres 35 años,Hombres 36 años,Hombres 37 años,Hombres 38 años,Hombres 39 años,Hombres 40 años,Hombres 41 años,Hombres 42 años,Hombres 43 años,Hombres 44 años,Hombres 45 años,Hombres 46 años,Hombres 47 años,Hombres 48 años,Hombres 49 años,Hombres 50 años,Hombres 51 años,Hombres 52 años,Hombres 53 años,Hombres 54 años,Hombres 55 años,Hombres 56 años,Hombres 57 años,Hombres 58 años,Hombres 59 años,Hombres 60 años,Hombres 61 años,Hombres 62 años,Hombres 63 años,Hombres 64 años,Hombres 65 años,Hombres 66 años,Hombres 67 años,Hombres 68 años,Hombres 69 años,Hombres 70 años,Hombres 71 años,Hombres 72 años,Hombres 73 años,Hombres 74 años,Hombres 75 años,Hombres 76 años,Hombres 77 años,Hombres 78 años,Hombres 79 años,Hombres 80 años,Hombres 81 años,Hombres 82 años,Hombres 83 años,Hombres 84 años,Hombres 85 años,Hombres 86 años,Hombres 87 años,Hombres 88 años,Hombres 89 años,Hombres 90 años,Hombres 91 años,Hombres 92 años,Hombres 93 años,Hombres 94 años,Hombres 95 años,Hombres 96 años,Hombres 97 años,Hombres 98 años,Hombres 99 años,Hombres 100 años y más,Mujeres 0 años,Mujeres 1 año,Mujeres 2 años,Mujeres 3 años,Mujeres 4 años,Mujeres 5 años,Mujeres 6 años,Mujeres 7 años,Mujeres 8 años,Mujeres 9 años,Mujeres 10 años,Mujeres 11 años,Mujeres 12 años,Mujeres 13 años,Mujeres 14 años,Mujeres 15 años,Mujeres 16 años,Mujeres 17 años,Mujeres 18 años,Mujeres 19 años,Mujeres 20 años,Mujeres 21 años,Mujeres 22 años,Mujeres 23 años,Mujeres 24 años,Mujeres 25 años,Mujeres 26 años,Mujeres 27 años,Mujeres 28 años,Mujeres 29 años,Mujeres 30 años,Mujeres 31 años,Mujeres 32 años,Mujeres 33 años,Mujeres 34 años,Mujeres 35 años,Mujeres 36 años,Mujeres 37 años,Mujeres 38 años,Mujeres 39 años,Mujeres 40 años,Mujeres 41 años,Mujeres 42 años,Mujeres 43 años,Mujeres 44 años,Mujeres 45 años,Mujeres 46 años,Mujeres 47 años,Mujeres 48 años,Mujeres 49 años,Mujeres 50 años,Mujeres 51 años,Mujeres 52 años,Mujeres 53 años,Mujeres 54 años,Mujeres 55 años,Mujeres 56 años,Mujeres 57 años,Mujeres 58 años,Mujeres 59 años,Mujeres 60 años,Mujeres 61 años,Mujeres 62 años,Mujeres 63 años,Mujeres 64 años,Mujeres 65 años,Mujeres 66 años,Mujeres 67 años,Mujeres 68 años,Mujeres 69 años,Mujeres 70 años,Mujeres 71 años,Mujeres 72 años,Mujeres 73 años,Mujeres 74 años,Mujeres 75 años,Mujeres 76 años,Mujeres 77 años,Mujeres 78 años,Mujeres 79 años,Mujeres 80 años,Mujeres 81 años,Mujeres 82 años,Mujeres 83 años,Mujeres 84 años,Mujeres 85 años,Mujeres 86 años,Mujeres 87 años,Mujeres 88 años,Mujeres 89 años,Mujeres 90 años,Mujeres 91 años,Mujeres 92 años,Mujeres 93 años,Mujeres 94 años,Mujeres 95 años,Mujeres 96 años,Mujeres 97 años,Mujeres 98 años,Mujeres 99 años,Mujeres 100 años y más,Total 0 años,Total 1 año,Total 2 años,Total 3 años,Total 4 años,Total 5 años,Total 6 años,Total 7 años,Total 8 años,Total 9 años,Total 10 años,Total 11 años,Total 12 años,Total 13 años,Total 14 años,Total 15 años,Total 16 años,Total 17 años,Total 18 años,Total 19 años,Total 20 años,Total 21 años,Total 22 años,Total 23 años,Total 24 años,Total 25 años,Total 26 años,Total 27 años,Total 28 años,Total 29 años,Total 30 años,Total 31 años,Total 32 años,Total 33 años,Total 34 años,Total 35 años,Total 36 años,Total 37 años,Total 38 años,Total 39 años,Total 40 años,Total 41 años,Total 42 años,Total 43 años,Total 44 años,Total 45 años,Total 46 años,Total 47 años,Total 48 años,Total 49 años,Total 50 años,Total 51 años,Total 52 años,Total 53 años,Total 54 años,Total 55 años,Total 56 años,Total 57 años,Total 58 años,Total 59 años,Total 60 años,Total 61 años,Total 62 años,Total 63 años,Total 64 años,Total 65 años,Total 66 años,Total 67 años,Total 68 años,Total 69 años,Total 70 años,Total 71 años,Total 72 años,Total 73 años,Total 74 años,Total 75 años,Total 76 años,Total 77 años,Total 78 años,Total 79 años,Total 80 años,Total 81 años,Total 82 años,Total 83 años,Total 84 años,Total 85 años,Total 86 años,Total 87 años,Total 88 años,Total 89 años,Total 90 años,Total 91 años,Total 92 años,Total 93 años,Total 94 años,Total 95 años,Total 96 años,Total 97 años,Total 98 años,Total 99 años,Total 100 años  y más
11001,"Bogotá, D.C.",2020,"46,752","47,005","48,775","49,601","50,437","51,249","51,912","52,519","53,004","53,678","54,281","55,006","55,734","56,519","56,763","56,936","57,161","57,738","58,815","61,377","63,943","67,289","71,043","74,523","76,368","77,241","77,169","76,126","74,437","72,463","70,239","68,004","65,457","63,444","61,759","60,384","59,154","58,078","56,871","55,635","53,650","51,480","49,195","47,257","45,321","44,097","43,250","42,611","42,170","41,978","41,733","41,319","40,804","40,453","39,881","39,156","38,219","36,981","35,551","33,919","32,119","30,453","28,879","27,346","25,747","24,399","22,957","21,422","20,027","18,793","17,600","16,286","15,065","13,901","12,693","11,693","10,754","9,930","9,142","8,425","7,743","7,001","6,262","5,562","4,911","4,332","3,775","3,259","2,803","2,363","1,963","1,603","1,280",973,733,542,405,293,205,144,339,"44,421","44,612","46,218","47,107","47,872","48,607","49,370","50,105","50,899","51,490","52,170","52,813","53,598","54,536","54,689","54,915","55,345","56,269","57,878","61,291","65,442","69,244","72,450","74,705","75,965","76,413","75,906","74,718","73,115","71,186","69,169","67,018","65,209","63,630","62,501","61,582","61,283","60,918","60,263","59,138","57,974","56,340","54,858","53,002","51,397","50,245","49,547","48,905","48,512","48,470","48,534","48,293","48,221","48,053","47,633","47,030","46,377","45,406","43,905","42,236","40,425","38,658","37,082","35,482","33,955","32,264","30,590","28,778","26,996","25,430","23,872","22,440","21,061","19,573","18,115","16,704","15,532","14,431","13,505","12,650","11,748","10,854","9,995","9,139","8,237","7,358","6,522","5,730","4,988","4,311","3,670","3,089","2,550","2,039","1,565","1,183",885,668,501,374,595,"91,173","91,617","94,993","96,708","98,309","99,856","101,282","102,624","103,903","105,168","106,451","107,819","109,332","111,055","111,452","111,851","112,506","114,007","116,693","122,668","129,385","136,533","143,493","149,228","152,333","153,654","153,075","150,844","147,552","143,649","139,408","135,022","130,666","127,074","124,260","121,966","120,437","118,996","117,134","114,773","111,624","107,820","104,053","100,259","96,718","94,342","92,797","91,516","90,682","90,448","90,267","89,612","89,025","88,506","87,514","86,186","84,596","82,387","79,456","76,155","72,544","69,111","65,961","62,828","59,702","56,663","53,547","50,200","47,023","44,223","41,472","38,726","36,126","33,474","30,808","28,397","26,286","24,361","22,647","21,075","19,491","17,855","16,257","14,701","13,148","11,690","10,297","8,989","7,791","6,674","5,633","4,692","3,830","3,012","2,298","1,725","1,290",961,706,518,934
11001,"Bogotá, D.C.",2020,175,174,176,179,183,190,194,199,205,214,222,232,244,256,266,274,281,288,294,296,293,285,277,268,263,257,251,241,233,225,219,214,207,204,200,198,199,199,198,195,190,185,179,175,170,168,168,166,165,164,164,165,164,164,160,157,153,148,142,137,130,124,117,111,105,100,95,90,84,80,73,68,64,57,51,47,43,39,35,30,26,23,19,17,13,11,9,8,6,4,3,3,2,1,0,1,1,0,0,1,2,156,158,163,169,176,185,191,198,204,209,217,224,234,243,249,252,256,260,261,257,253,247,240,233,228,226,222,217,211,204,198,192,188,184,182,180,176,175,172,171,168,163,160,156,153,151,151,150,151,152,152,150,150,148,146,142,138,132,126,119,112,104,98,92,86,82,77,72,68,65,61,57,53,50,46,43,39,35,34,32,30,27,25,22,21,18,15,13,10,9,7,6,4,3,1,1,1,1,1,1,0,331,332,339,348,359,375,385,397,409,423,439,456,478,499,515,526,537,548,555,553,546,532,517,501,491,483,473,458,444,429,417,406,395,388,382,378,375,374,370,366,358,348,339,331,323,319,319,316,316,316,316,315,314,312,306,299,291,280,268,256,242,228,215,203,191,182,172,162,152,145,134,125,117,107,97,90,82,74,69,62,56,50,44,39,34,29,24,21,16,13,10,9,6,4,1,2,2,1,1,2,2
11001,"Bogotá, D.C.",2020,"46,927","47,179","48,951","49,780","50,620","51,439","52,106","52,718","53,209","53,892","54,503","55,238","55,978","56,775","57,029","57,210","57,442","58,026","59,109","61,673","64,236","67,574","71,320","74,791","76,631","77,498","77,420","76,367","74,670","72,688","70,458","68,218","65,664","63,648","61,959","60,582","59,353","58,277","57,069","55,830","53,840","51,665","49,374","47,432","45,491","44,265","43,418","42,777","42,335","42,142","41,897","41,484","40,968","40,617","40,041","39,313","38,372","37,129","35,693","34,056","32,249","30,577","28,996","27,457","25,852","24,499","23,052","21,512","20,111","18,873","17,673","16,354","15,129","13,958","12,744","11,740","10,797","9,969","9,177","8,455","7,769","7,024","6,281","5,579","4,924","4,343","3,784","3,267","2,809","2,367","1,966","1,606","1,282",974,733,543,406,293,205,145,341,"44,577","44,770","46,381","47,276","48,048","48,792","49,561","50,303","51,103","51,699","52,387","53,037","53,832","54,779","54,938","55,167","55,601","56,529","58,139","61,548","65,695","69,491","72,690","74,938","76,193","76,639","76,128","74,935","73,326","71,390","69,367","67,210","65,397","63,814","62,683","61,762","61,459","61,093","60,435","59,309","58,142","56,503","55,018","53,158","51,550","50,396","49,698","49,055","48,663","48,622","48,686","48,443","48,371","48,201","47,779","47,172","46,515","45,538","44,031","42,355","40,537","38,762","37,180","35,574","34,041","32,346","30,667","28,850","27,064","25,495","23,933","22,497","21,114","19,623","18,161","16,747","15,571","14,466","13,539","12,682","11,778","10,881","10,020","9,161","8,258","7,376","6,537","5,743","4,998","4,320","3,677","3,095","2,554","2,042","1,566","1,184",886,669,502,375,595,"91,504","91,949","95,332","97,056","98,668","100,231","101,667","103,021","104,312","105,591","106,890","108,275","109,810","111,554","111,967","112,377","113,043","114,555","117,248","123,221","129,931","137,065","144,010","149,729","152,824","154,137","153,548","151,302","147,996","144,078","139,825","135,428","131,061","127,462","124,642","122,344","120,812","119,370","117,504","115,139","111,982","108,168","104,392","100,590","97,041","94,661","93,116","91,832","90,998","90,764","90,583","89,927","89,339","88,818","87,820","86,485","84,887","82,667","79,724","76,411","72,786","69,339","66,176","63,031","59,893","56,845","53,719","50,362","47,175","44,368","41,606","38,851","36,243","33,581","30,905","28,487","26,368","24,435","22,716","21,137","19,547","17,905","16,301","14,740","13,182","11,719","10,321","9,010","7,807","6,687","5,643","4,701","3,836","3,016","2,299","1,727","1,292",962,707,520,936
11001,"Bogotá, D.C.",2021,"46,101","47,138","47,332","49,011","49,782","50,587","51,321","51,963","52,557","53,053","53,725","54,351","55,109","55,916","56,789","57,192","57,499","57,938","58,760","60,090","62,854","65,554","68,946","72,664","76,044","77,784","78,531","78,317","77,127","75,297","73,195","70,857","68,519","65,890","63,798","62,039","60,600","59,311","58,179","56,924","55,645","53,634","51,442","49,139","47,184","45,231","43,988","43,121","42,461","41,999","41,778","41,504","41,063","40,517","40,132","39,525","38,770","37,798","36,530","35,074","33,417","31,600","29,917","28,326","26,775","25,168","23,805","22,353","20,814","19,413","18,169","16,962","15,647","14,425","13,259","12,054","11,053","10,113","9,286","8,497","7,780","7,097","6,369","5,646","4,968","4,344","3,792","3,266","2,786","2,363","1,961","1,600","1,280","1,000",745,548,395,289,203,138,275,"43,835","44,756","44,896","46,421","47,265","47,956","48,664","49,412","50,146","50,939","51,552","52,265","52,967","53,820","54,834","55,107","55,481","56,145","57,353","59,242","62,844","67,089","70,889","74,029","76,159","77,282","77,587","76,944","75,622","73,893","71,853","69,742","67,513","65,636","64,001","62,821","61,855","61,507","61,098","60,406","59,257","58,070","56,417","54,918","53,051","51,437","50,273","49,562","48,910","48,499","48,434","48,468","48,196","48,090","47,884","47,429","46,789","46,094","45,088","43,558","41,864","40,033","38,244","36,645","35,023","33,472","31,762","30,072","28,246","26,446","24,861","23,282","21,828","20,426","18,924","17,451","16,023","14,831","13,704","12,752","11,866","10,942","10,030","9,152","8,286","7,398","6,534","5,718","4,958","4,253","3,616","3,025","2,499","2,021","1,583","1,189",878,642,474,349,545,"89,936","91,894","92,228","95,432","97,047","98,543","99,985","101,375","102,703","103,992","105,277","106,616","108,076","109,736","111,623","112,299","112,980","114,083","116,113","119,332","125,698","132,643","139,835","146,693","152,203","155,066","156,118","155,261","152,749","149,190","145,048","140,599","136,032","131,526","127,799","124,860","122,455","120,818","119,277","117,330","114,902","111,704","107,859","104,057","100,235","96,668","94,261","92,683","91,371","90,498","90,212","89,972","89,259","88,607","88,016","86,954","85,559","83,892","81,618","78,632","75,281","71,633","68,161","64,971","61,798","58,640","55,567","52,425","49,060","45,859","43,030","40,244","37,475","34,851","32,183","29,505","27,076","24,944","22,990","21,249","19,646","18,039","16,399","14,798","13,254","11,742","10,326","8,984","7,744","6,616","5,577","4,625","3,779","3,021","2,328","1,737","1,273",931,677,487,820
11001,"Bogotá, D.C.",2021,177,178,178,180,185,191,196,201,207,213,222,232,244,255,267,275,284,292,298,303,304,300,292,285,276,271,264,256,248,238,231,223,218,211,206,203,202,202,202,200,197,192,186,181,177,172,171,171,170,169,168,168,168,167,166,162,158,154,148,142,137,129,123,116,110,104,99,93,88,82,78,72,67,61,55,49,44,40,35,31,27,23,20,17,14,11,9,8,6,5,3,2,2,1,1,1,0,0,0,0,1,158,162,164,170,177,187,193,199,205,210,217,224,233,242,250,253,257,261,265,266,263,259,254,247,239,234,231,227,221,215,207,200,194,189,186,183,180,178,177,176,174,170,166,163,159,156,155,154,154,154,155,155,153,152,149,146,142,137,131,124,116,109,102,96,90,85,80,76,71,68,63,61,56,52,48,44,41,38,34,32,31,28,25,23,20,18,16,14,11,9,7,5,4,3,2,1,1,1,1,0,1,335,340,342,350,362,378,389,400,412,423,439,456,477,497,517,528,541,553,563,569,567,559,546,532,515,505,495,483,469,453,438,423,412,400,392,386,382,380,379,376,371,362,352,344,336,328,326,325,324,323,323,323,321,319,315,308,300,291,279,266,253,238,225,212,200,189,179,169,159,150,141,133,123,113,103,93,85,78,69,63,58,51,45,40,34,29,25,22,17,14,10,7,6,4,3,2,1,1,1,0,2
11001,"Bogotá, D.C.",2021,"46,278","47,316","47,510","49,191","49,967","50,778","51,517","52,164","52,764","53,266","53,947","54,583","55,353","56,171","57,056","57,467","57,783","58,230","59,058","60,393","63,158","65,854","69,238","72,949","76,320","78,055","78,795","78,573","77,375","75,535","73,426","71,080","68,737","66,101","64,004","62,242","60,802","59,513","58,381","57,124","55,842","53,826","51,628","49,320","47,361","45,403","44,159","43,292","42,631","42,168","41,946","41,672","41,231","40,684","40,298","39,687","38,928","37,952","36,678","35,216","33,554","31,729","30,040","28,442","26,885","25,272","23,904","22,446","20,902","19,495","18,247","17,034","15,714","14,486","13,314","12,103","11,097","10,153","9,321","8,528","7,807","7,120","6,389","5,663","4,982","4,355","3,801","3,274","2,792","2,368","1,964","1,602","1,282","1,001",746,549,395,289,203,138,276,"43,993","44,918","45,060","46,591","47,442","48,143","48,857","49,611","50,351","51,149","51,769","52,489","53,200","54,062","55,084","55,360","55,738","56,406","57,618","59,508","63,107","67,348","71,143","74,276","76,398","77,516","77,818","77,171","75,843","74,108","72,060","69,942","67,707","65,825","64,187","63,004","62,035","61,685","61,275","60,582","59,431","58,240","56,583","55,081","53,210","51,593","50,428","49,716","49,064","48,653","48,589","48,623","48,349","48,242","48,033","47,575","46,931","46,231","45,219","43,682","41,980","40,142","38,346","36,741","35,113","33,557","31,842","30,148","28,317","26,514","24,924","23,343","21,884","20,478","18,972","17,495","16,064","14,869","13,738","12,784","11,897","10,970","10,055","9,175","8,306","7,416","6,550","5,732","4,969","4,262","3,623","3,030","2,503","2,024","1,585","1,190",879,643,475,349,546,"90,271","92,234","92,570","95,782","97,409","98,921","100,374","101,775","103,115","104,415","105,716","107,072","108,553","110,233","112,140","112,827","113,521","114,636","116,676","119,901","126,265","133,202","140,381","147,225","152,718","155,571","156,613","155,744","153,218","149,643","145,486","141,022","136,444","131,926","128,191","125,246","122,837","121,198","119,656","117,706","115,273","112,066","108,211","104,401","100,571","96,996","94,587","93,008","91,695","90,821","90,535","90,295","89,580","88,926","88,331","87,262","85,859","84,183","81,897","78,898","75,534","71,871","68,386","65,183","61,998","58,829","55,746","52,594","49,219","46,009","43,171","40,377","37,598","34,964","32,286","29,598","27,161","25,022","23,059","21,312","19,704","18,090","16,444","14,838","13,288","11,771","10,351","9,006","7,761","6,630","5,587","4,632","3,785","3,025","2,331","1,739","1,274",932,678,487,822
11001,"Bogotá, D.C.",2022,"45,350","46,112","47,101","47,265","48,890","49,651","50,399","51,128","51,774","52,389","52,900","53,605","54,277","55,123","56,021","57,041","57,542","58,004","58,607","59,579","61,033","63,852","66,542","69,858","73,447","76,669","78,271","78,890","78,556","77,253","75,334","73,159","70,764","68,382","65,724","63,606","61,823","60,363","59,058","57,910","56,638","55,345","53,334","51,148","48,849","46,897","44,949","43,704","42,834","42,166","41,690","41,450","41,154","40,690","40,119","39,705","39,069","38,281","37,280","35,986","34,505","32,831","30,999","29,306","27,699","26,140","24,523","23,150","21,693","20,151","18,745","17,490","16,276","14,963","13,743","12,575","11,379","10,379","9,444","8,618","7,836","7,119","6,446","5,731","5,034","4,384","3,794","3,271","2,784","2,341","1,954","1,591","1,270",994,759,551,394,277,197,134,217,"43,123","43,814","44,693","44,809","46,287","47,080","47,762","48,471","49,231","49,979","50,802","51,460","52,241","53,019","53,956","55,076","55,461","55,991","56,832","58,198","60,205","63,828","68,010","71,706","74,712","76,688","77,676","77,867","77,123","75,717","73,920","71,828","69,677","67,421","65,530","63,887","62,699","61,724","61,358","60,935","60,238","59,091","57,904","56,253","54,755","52,895","51,289","50,128","49,419","48,762","48,341","48,257","48,269","47,971","47,837","47,598","47,111","46,437","45,709","44,672","43,119","41,407","39,560","37,752","36,133","34,492","32,924","31,198","29,492","27,650","25,838","24,232","22,636","21,163","19,742","18,225","16,737","15,299","14,085","12,943","11,967","11,058","10,119","9,194","8,308","7,452","6,578","5,740","4,957","4,235","3,576","2,987","2,453","1,987","1,573","1,205",884,637,452,329,463,"88,473","89,926","91,794","92,074","95,177","96,731","98,161","99,599","101,005","102,368","103,702","105,065","106,518","108,142","109,977","112,117","113,003","113,995","115,439","117,777","121,238","127,680","134,552","141,564","148,159","153,357","155,947","156,757","155,679","152,970","149,254","144,987","140,441","135,803","131,254","127,493","124,522","122,087","120,416","118,845","116,876","114,436","111,238","107,401","103,604","99,792","96,238","93,832","92,253","90,928","90,031","89,707","89,423","88,661","87,956","87,303","86,180","84,718","82,989","80,658","77,624","74,238","70,559","67,058","63,832","60,632","57,447","54,348","51,185","47,801","44,583","41,722","38,912","36,126","33,485","30,800","28,116","25,678","23,529","21,561","19,803","18,177","16,565","14,925","13,342","11,836","10,372","9,011","7,741","6,576","5,530","4,578","3,723","2,981","2,332","1,756","1,278",914,649,463,680
11001,"Bogotá, D.C.",2022,179,180,181,182,186,193,197,202,209,214,222,232,243,254,265,276,285,294,301,307,310,311,306,298,290,281,277,269,262,252,243,235,227,221,213,210,206,205,205,205,202,199,193,188,183,180,175,174,175,174,172,172,171,171,169,168,163,159,154,148,142,136,128,121,114,108,103,96,92,86,80,76,70,64,58,52,45,41,36,32,28,24,20,17,14,12,9,7,6,4,4,3,2,2,1,1,0,1,1,1,0,160,164,168,172,178,189,195,201,205,211,217,225,233,241,249,254,260,262,267,269,271,268,264,258,252,244,239,235,230,224,217,208,202,194,189,185,183,182,180,180,178,176,173,168,166,162,159,158,157,157,157,158,158,155,153,149,146,141,135,129,121,114,107,100,94,89,83,79,75,71,67,62,59,54,51,46,42,39,36,33,31,29,27,24,22,19,17,14,11,10,7,5,4,3,3,1,1,0,0,0,1,339,344,349,354,364,382,392,403,414,425,439,457,476,495,514,530,545,556,568,576,581,579,570,556,542,525,516,504,492,476,460,443,429,415,402,395,389,387,385,385,380,375,366,356,349,342,334,332,332,331,329,330,329,326,322,317,309,300,289,277,263,250,235,221,208,197,186,175,167,157,147,138,129,118,109,98,87,80,72,65,59,53,47,41,36,31,26,21,17,14,11,8,6,5,4,2,1,1,1,1,1
11001,"Bogotá, D.C.",2022,"45,529","46,292","47,282","47,447","49,076","49,844","50,596","51,330","51,983","52,603","53,122","53,837","54,520","55,377","56,286","57,317","57,827","58,298","58,908","59,886","61,343","64,163","66,848","70,156","73,737","76,950","78,548","79,159","78,818","77,505","75,577","73,394","70,991","68,603","65,937","63,816","62,029","60,568","59,263","58,115","56,840","55,544","53,527","51,336","49,032","47,077","45,124","43,878","43,009","42,340","41,862","41,622","41,325","40,861","40,288","39,873","39,232","38,440","37,434","36,134","34,647","32,967","31,127","29,427","27,813","26,248","24,626","23,246","21,785","20,237","18,825","17,566","16,346","15,027","13,801","12,627","11,424","10,420","9,480","8,650","7,864","7,143","6,466","5,748","5,048","4,396","3,803","3,278","2,790","2,345","1,958","1,594","1,272",996,760,552,394,278,198,135,217,"43,283","43,978","44,861","44,981","46,465","47,269","47,957","48,672","49,436","50,190","51,019","51,685","52,474","53,260","54,205","55,330","55,721","56,253","57,099","58,467","60,476","64,096","68,274","71,964","74,964","76,932","77,915","78,102","77,353","75,941","74,137","72,036","69,879","67,615","65,719","64,072","62,882","61,906","61,538","61,115","60,416","59,267","58,077","56,421","54,921","53,057","51,448","50,286","49,576","48,919","48,498","48,415","48,427","48,126","47,990","47,747","47,257","46,578","45,844","44,801","43,240","41,521","39,667","37,852","36,227","34,581","33,007","31,277","29,567","27,721","25,905","24,294","22,695","21,217","19,793","18,271","16,779","15,338","14,121","12,976","11,998","11,087","10,146","9,218","8,330","7,471","6,595","5,754","4,968","4,245","3,583","2,992","2,457","1,990","1,576","1,206",885,637,452,329,464,"88,812","90,270","92,143","92,428","95,541","97,113","98,553","100,002","101,419","102,793","104,141","105,522","106,994","108,637","110,491","112,647","113,548","114,551","116,007","118,353","121,819","128,259","135,122","142,120","148,701","153,882","156,463","157,261","156,171","153,446","149,714","145,430","140,870","136,218","131,656","127,888","124,911","122,474","120,801","119,230","117,256","114,811","111,604","107,757","103,953","100,134","96,572","94,164","92,585","91,259","90,360","90,037","89,752","88,987","88,278","87,620","86,489","85,018","83,278","80,935","77,887","74,488","70,794","67,279","64,040","60,829","57,633","54,523","51,352","47,958","44,730","41,860","39,041","36,244","33,594","30,898","28,203","25,758","23,601","21,626","19,862","18,230","16,612","14,966","13,378","11,867","10,398","9,032","7,758","6,590","5,541","4,586","3,729","2,986","2,336","1,758","1,279",915,650,464,681
11001,"Bogotá, D.C.",2023,"44,665","45,267","45,992","46,940","47,092","48,691","49,402","50,149","50,883","51,556","52,184","52,731","53,484","54,248","55,184","56,221","57,332","57,969","58,574","59,302","60,372","61,890","64,691","67,313","70,510","73,936","76,973","78,430","78,925","78,477","77,085","75,097","72,872","70,450","68,043","65,380","63,257","61,470","60,000","58,696","57,540","56,265","54,966","52,963","50,791","48,505","46,564","44,629","43,390","42,519","41,846","41,357","41,099","40,784","40,298","39,704","39,263","38,597","37,778","36,749","35,430","33,931","32,242","30,402","28,698","27,083","25,515","23,897","22,516","21,052","19,512","18,102","16,843","15,623","14,316","13,094","11,932","10,747","9,753","8,824","8,007","7,231","6,525","5,860","5,165","4,498","3,879","3,321","2,833","2,378","1,973","1,619","1,293","1,013",775,580,411,288,199,135,180,"42,453","43,001","43,660","44,507","44,615","46,031","46,819","47,506","48,232","49,008","49,791","50,658","51,387","52,242","53,103","54,148","55,360","55,878","56,550","57,518","58,969","61,019","64,587","68,650","72,200","75,047","76,865","77,728","77,814","76,990","75,528","73,687","71,569","69,400","67,146","65,262","63,631","62,446","61,476","61,105","60,684","59,988","58,850","57,669","56,027","54,537","52,690","51,098","49,946","49,235","48,575","48,142","48,041","48,031","47,709","47,547","47,275","46,757","46,051","45,292","44,229","42,658","40,929","39,066","37,243","35,609","33,953","32,367","30,629","28,904","27,048","25,224","23,600","21,991","20,502","19,063","17,531","16,032","14,585","13,360","12,205","11,213","10,290","9,342","8,410","7,535","6,690","5,840","5,036","4,293","3,614","3,003","2,468","1,990","1,582","1,228",921,661,464,327,403,"87,118","88,268","89,652","91,447","91,707","94,722","96,221","97,655","99,115","100,564","101,975","103,389","104,871","106,490","108,287","110,369","112,692","113,847","115,124","116,820","119,341","122,909","129,278","135,963","142,710","148,983","153,838","156,158","156,739","155,467","152,613","148,784","144,441","139,850","135,189","130,642","126,888","123,916","121,476","119,801","118,224","116,253","113,816","110,632","106,818","103,042","99,254","95,727","93,336","91,754","90,421","89,499","89,140","88,815","88,007","87,251","86,538","85,354","83,829","82,041","79,659","76,589","73,171","69,468","65,941","62,692","59,468","56,264","53,145","49,956","46,560","43,326","40,443","37,614","34,818","32,157","29,463","26,779","24,338","22,184","20,212","18,444","16,815","15,202","13,575","12,033","10,569","9,161","7,869","6,671","5,587","4,622","3,761","3,003","2,357","1,808","1,332",949,663,462,583
