Localidad_norm,Vecina_norm
TUNJUELITO,PUENTE ARANDA
TUNJUELITO,KENNEDY
TUNJUELITO,SAN CRISTOBAL
BARRIOS UNIDOS,TEUSAQUILLO
BARRIOS UNIDOS,ENGATIVA
BARRIOS UNIDOS,PUENTE ARANDA
TEUSAQUILLO,BARRIOS UNIDOS
TEUSAQUILLO,PUENTE ARANDA
TEUSAQUILLO,FONTIBON
PUENTE ARANDA,TEUSAQUILLO
PUENTE ARANDA,KENNEDY
PUENTE ARANDA,TUNJUELITO
USAQUEN,SUBA
USAQUEN,BARRIOS UNIDOS
USAQUEN,ENGATIVA
SAN CRISTOBAL,TUNJUELITO
SAN CRISTOBAL,PUENTE ARANDA
SAN CRISTOBAL,TEUSAQUILLO
CIUDAD BOLIVAR,TUNJUELITO
CIUDAD BOLIVAR,SAN CRISTOBAL
CIUDAD BOLIVAR,PUENTE ARANDA
KENNEDY,PUENTE ARANDA
KENNEDY,FONTIBON
KENNEDY,TUNJUELITO
FONTIBON,ENGATIVA
FONTIBON,KENNEDY
FONTIBON,TEUSAQUILLO
ENGATIVA,FONTIBON
ENGATIVA,BARRIOS UNIDOS
ENGATIVA,TEUSAQUILLO
SUBA,USAQUEN
SUBA,ENGATIVA
SUBA,BARRIOS UNIDOS
