Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_NO2,grad_NO2,adv_proxy_NO2
BARRIOS UNIDOS,2020-01-01,13.672937771345875,13.822457627118643,17.690691114245418,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9516129032258064,0.952956989247312,0.928763440860215,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,5.650965394334577,0.0004409611172122129,0.0006628641310351329
ENGATIVA,2020-01-01,17.305021520803443,16.37294617563739,11.864830508474576,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9489247311827956,0.9516129032258064,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-2.227127905974319,0.0002683723829995786,0.0004034242918638827
FONTIBON,2020-01-01,19.646153846153847,16.69630681818182,15.080594900849858,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.946236559139785,0.9489247311827956,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,0.8473747927948772,0.00014825197403136746,0.00022285619322134591
KENNEDY,2020-01-01,23.64844192634561,17.867042253521127,21.17669491525424,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9543010752688172,0.9516129032258064,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-11.429612869665865,0.0006209911144259358,0.0009334898687822132
PUENTE ARANDA,2020-01-01,14.912747875354109,16.92293447293447,10.027042253521126,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9435483870967742,0.9543010752688172,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-7.426554092566592,0.0008847344432173762,0.001329955646900959
SAN CRISTOBAL,2020-01-01,11.995295902883155,,13.524825174825176,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.7688172043010753,0.885752688172043,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-01-01,15.680184410484078,11.346686303387331,14.277353363942833,16.358387096774194,83.1324193548387,1.3029032258064517,,26.29,0.8480645161290322,0.9126344086021504,0.8393817204301075,0.9314516129032258,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,7.502031195981372,0.00043293872111822027,0.0005640772563214489
TEUSAQUILLO,2020-01-01,13.396892655367232,,,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.6478494623655914,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-01-01,22.68788454855788,8.552272599781224,,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9495967741935485,0.3655913978494624,0.9401881720430108,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,17.68543152689315,0.0015132472309586876,0.0022747522891185435
USAQUEN,2020-01-01,15.714893617021277,,17.75249169435216,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.8091397849462365,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2020-02-01,19.610410094637224,17.65530726256983,18.91921921921922,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.771551724137931,0.956896551724138,0.9109195402298852,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,10.859248804689312,0.0008401778249919492,0.0011440904244459334
ENGATIVA,2020-02-01,19.098684210526315,22.198305084745765,12.445343511450382,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.932471264367816,0.9410919540229884,0.8735632183908046,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-4.712861152004908,0.0004262648599861991,0.000580455148995
FONTIBON,2020-02-01,27.05271903323263,22.02844175491679,16.965091463414634,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.9497126436781608,0.942528735632184,0.9511494252873564,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,0.8849651184557281,8.702989386417068e-05,0.00011851070719641723
KENNEDY,2020-02-01,28.85090361445783,22.743543543543545,20.39036144578313,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.956896551724138,0.9540229885057472,0.9540229885057472,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-11.797432938196755,0.0007686163719833232,0.00104664346653867
PUENTE ARANDA,2020-02-01,27.16132930513595,23.97155824508321,10.17238239757208,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.9497126436781608,0.9468390804597702,0.9511494252873564,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-14.766375254188992,0.0013999110435795519,0.0019062926589984998
SAN CRISTOBAL,2020-02-01,17.58078078078078,,13.280150375939847,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,,0.9554597701149424,0.956896551724138,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-02-01,21.60626457104231,14.391433021806852,15.784512417407154,16.581379310344825,80.82448275862069,1.2646551724137929,,123.1,4.244827586206896,0.9224137931034484,0.951867816091954,0.9475574712643677,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,11.070746303701892,0.0006443758856806163,0.0008149132968047103
TEUSAQUILLO,2020-02-01,17.134153846153847,,20.80537634408602,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,,0.9353448275862069,0.9339080459770116,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-02-01,30.33079387907856,10.43319769243388,15.170481927710844,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.951867816091954,0.9540229885057472,0.9554597701149425,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,25.848706403758992,0.0022325955082128043,0.0030401791937697802
USAQUEN,2020-02-01,22.500758725341427,,,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,,0.2140804597701149,0.9468390804597702,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2020-03-01,32.57886904761905,,30.935177304964537,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.6895161290322581,0.9475806451612904,0.9032258064516128,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,,,
ENGATIVA,2020-03-01,34.273371104815865,19.19559659090909,21.35643564356436,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.946236559139785,0.9502688172043012,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-1.7098823051948067,0.0004359143360506633,0.00045785067038095473
FONTIBON,2020-03-01,37.47248226950354,17.485714285714284,27.23048433048433,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.9502688172043012,0.9435483870967742,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,2.906537554036234,0.00032736034688264594,0.00034383396433867585
KENNEDY,2020-03-01,38.65169971671388,18.68236953455571,29.263366336633663,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.952956989247312,0.9502688172043012,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-11.360901074333045,0.0006133646251864147,0.0006442307160022472
PUENTE ARANDA,2020-03-01,37.35702127659575,17.987659574468083,16.402266288951843,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.9475806451612904,0.9489247311827956,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-8.080115945228732,0.0008968420495182988,0.0009419734558811551
SAN CRISTOBAL,2020-03-01,28.54950354609929,,19.14794908062235,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,,0.9502688172043012,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-03-01,31.505099329545544,11.891210374639767,26.481177430436276,16.88483870967742,83.02112903225806,0.9353225806451613,,113.815,3.671451612903226,0.9327956989247312,0.918010752688172,0.9509408602150538,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,7.304386216269323,0.0009109762933397526,0.0008520566975931009
TEUSAQUILLO,2020-03-01,29.034045584045582,,21.688210227272727,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,,0.946236559139785,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-03-01,37.855218522247796,9.212833669151722,20.310098176718093,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.9469086021505377,0.9583333333333334,0.9509408602150538,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,18.24436177072035,0.0015633055024728143,0.0016419750696940268
USAQUEN,2020-03-01,33.31040787623066,,,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,,0.5618279569892473,0.9556451612903226,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2020-04-01,13.598102189781024,8.422238586156112,27.08525547445256,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9430555555555556,0.9513888888888888,0.9513888888888888,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,2.9244499356310207,0.00021842002178760073,0.00019446662606489385
ENGATIVA,2020-04-01,12.566243194192378,9.25550527903469,19.62796052631579,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9208333333333332,0.8444444444444444,0.7652777777777777,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,0.7598411667728637,0.00027728517700477705,0.00024687623592658647
FONTIBON,2020-04-01,18.376392961876835,10.848613138686131,21.872873900293254,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9513888888888888,0.9472222222222222,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,2.5719219624751997,0.0005838563099222142,0.0005198267346007447
KENNEDY,2020-04-01,18.430088495575223,15.013642960812772,21.87973760932945,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9569444444444444,0.9527777777777776,0.9416666666666668,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-17.650830285065904,0.0010323876379564475,0.0009191691269938904
PUENTE ARANDA,2020-04-01,19.137813884785817,10.513421828908555,12.904558823529412,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9416666666666668,0.9444444444444444,0.9402777777777778,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,0.014862932773388238,0.000888570486462662,0.0007911239231139234
SAN CRISTOBAL,2020-04-01,12.564135702746364,,20.322318840579708,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,,0.9583333333333334,0.8597222222222223,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-04-01,15.285531617928457,9.34191419141914,19.872996763062268,17.145,83.34516666666667,0.8963333333333332,,169.60500000000002,5.6535,0.8416666666666667,0.8743055555555557,0.9256944444444444,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-1.0060845176474764,4.9782855442984514e-05,4.462203276206178e-05
TEUSAQUILLO,2020-04-01,12.78972099853157,,19.193026706231453,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,,0.9361111111111112,0.9458333333333332,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-04-01,16.300933046576297,6.028063629777726,16.74963715529753,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9416666666666667,0.9569444444444444,0.942361111111111,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,13.470937530165875,0.001122390472579157,0.0009993016507529762
USAQUEN,2020-04-01,15.872913616398243,,23.92107843137255,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,,0.85,0.9486111111111112,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2020-05-01,6.039820359281437,8.322881355932203,15.335502121640737,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9516129032258064,0.9502688172043012,0.8978494623655914,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,3.5077427369560397,0.00048378412851006507,0.0005535426786532905
ENGATIVA,2020-05-01,,,12.083521126760562,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.7258064516129032,0.9543010752688172,0.7298387096774194,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,,,
FONTIBON,2020-05-01,11.90482269503546,12.647265077138847,12.063892806770095,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9583333333333334,0.952956989247312,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,4.459204683761293,0.0008153579204223374,0.0009329272721735582
KENNEDY,2020-05-01,12.915254237288137,17.10646976090014,11.449295774647888,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9556451612903226,0.9543010752688172,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-19.285376547163125,0.0011333392537833567,0.0012967594623127631
PUENTE ARANDA,2020-05-01,12.53289855072464,11.830624092888243,6.567092198581561,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9260752688172044,0.9475806451612904,0.9274193548387096,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,1.0013651406338564,0.0009492366199032487,0.0010861104163860718
SAN CRISTOBAL,2020-05-01,,,13.59929873772791,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,,0.9583333333333334,0.7002688172043011,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-05-01,7.583818292189397,7.855374592833876,12.45033312955993,16.933064516129033,83.34241935483871,1.1374193548387095,,171.33499999999998,5.526935483870967,0.8252688172043011,0.9509408602150538,0.9448924731182796,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,0.46750676309832784,4.513494559293273e-05,5.13373606969938e-05
TEUSAQUILLO,2020-05-01,6.799002849002848,,12.266666666666667,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,,0.9475806451612904,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-05-01,13.124915973111396,7.556143565510203,10.535470085470084,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.948252688172043,0.9435483870967742,0.9502688172043011,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,13.824806722767978,0.0011466160051007736,0.0013119506355136915
USAQUEN,2020-05-01,8.09212730318258,,12.311458333333333,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,,0.9032258064516128,0.8024193548387096,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2020-06-01,7.477812995245642,8.904405286343613,12.14361233480176,18.52533333333333,79.155,1.244,,312.54,10.418,0.9458333333333332,0.9458333333333332,0.8763888888888889,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,4.998285133762558,0.0003883627689559537,0.00048312328458120644
ENGATIVA,2020-06-01,8.172455089820359,11.077352941176471,10.141554559043348,18.52533333333333,79.155,1.244,,312.54,10.418,0.9444444444444444,0.9291666666666668,0.9277777777777778,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-0.09210030573356853,0.00045877275690859524,0.0005707133095942925
FONTIBON,2020-06-01,14.04669603524229,13.158200290275762,10.131049562682216,18.52533333333333,79.155,1.244,,312.54,10.418,0.9569444444444444,0.9527777777777776,0.9458333333333332,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,1.2339450613548735,0.0005682958009033223,0.000706959976323733
KENNEDY,2020-06-01,15.013762811127378,16.472992700729925,,18.52533333333333,79.155,1.244,,312.54,10.418,0.9513888888888888,0.6111111111111112,0.9486111111111112,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-16.713243508973004,0.0009802008782087113,0.001219369892491637
PUENTE ARANDA,2020-06-01,15.35425219941349,11.729742765273311,5.829934210526315,18.52533333333333,79.155,1.244,,312.54,10.418,0.8638888888888889,0.8444444444444444,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,0.8312987078510012,0.0008598947065709239,0.0010697090149742294
SAN CRISTOBAL,2020-06-01,6.981229235880399,,10.476350364963505,18.52533333333333,79.155,1.244,,312.54,10.418,,0.9513888888888888,0.8361111111111111,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-06-01,8.964446892239625,7.853323485967503,10.400077788007433,15.864333333333333,83.60033333333334,1.2376666666666667,,363.86,12.128666666666668,0.9402777777777778,0.9513888888888888,0.91875,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,4.275111255585077,0.00025178236203791813,0.00031162263674893
TEUSAQUILLO,2020-06-01,8.803235294117647,,11.118703976435937,18.52533333333333,79.155,1.244,,312.54,10.418,,0.9430555555555556,0.9444444444444444,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-06-01,10.127407407407407,7.8177915376676985,9.794027303754266,18.52533333333333,79.155,1.244,,312.54,10.418,0.9472222222222222,0.8138888888888889,0.80625,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,12.56715239066784,0.0010427285103895671,0.0012971542669246215
USAQUEN,2020-06-01,9.904692082111437,,11.055108359133127,18.52533333333333,79.155,1.244,,312.54,10.418,,0.8972222222222223,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2020-07-01,5.93328530259366,9.933962264150944,12.1621387283237,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.8548387096774194,0.9301075268817204,0.9327956989247312,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,5.725332222705449,0.0004191232881703469,0.0004741501198752924
ENGATIVA,2020-07-01,6.20674318507891,11.143081312410844,10.596191819464034,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.9422043010752688,0.952956989247312,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,1.582771549441615,0.0004635674388328379,0.0005244293574150847
FONTIBON,2020-07-01,,13.93497191011236,11.559142857142856,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.956989247311828,0.9408602150537636,0.375,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,0.09409389162353854,0.0006197284517250349,0.0007010928000644185
KENNEDY,2020-07-01,16.473541963015645,16.820956399437414,13.584117647058823,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.9556451612903226,0.913978494623656,0.9448924731182796,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-13.899693173263593,0.0007892994902915486,0.0008929268749846649
PUENTE ARANDA,2020-07-01,12.916642958748222,14.450175438596492,6.201555869872702,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.7661290322580645,0.9502688172043012,0.9448924731182796,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-3.901365801415775,0.000835539652866777,0.0009452379234205765
SAN CRISTOBAL,2020-07-01,4.166372980910426,,10.560623229461756,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,,0.9489247311827956,0.9153225806451613,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2020-07-01,7.130403904036827,8.605120910384068,10.707078961018233,15.570967741935483,82.87774193548387,1.1588709677419358,,240.54500000000002,7.759516129032258,0.9448924731182796,0.9516129032258065,0.9045698924731183,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,3.8668017557936523,0.00022240835343598534,0.0002577425837802508
TEUSAQUILLO,2020-07-01,6.376757532281205,,11.078285714285714,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,,0.9408602150537636,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-07-01,14.95680922585984,8.178028676339796,,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.9240591397849462,0.6653225806451613,0.9381720430107527,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,14.915074485354314,0.001263607667797563,0.001429507126118082
USAQUEN,2020-07-01,6.790070921985816,,11.262605752961084,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,,0.7943548387096774,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2020-08-01,8.267663817663816,10.403404255319147,,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9475806451612904,0.521505376344086,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,5.721483219943211,0.00041792088621098145,0.0004660491947197945
ENGATIVA,2020-08-01,8.640735502121641,11.565915492957746,11.557243319268636,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9543010752688172,0.9556451612903226,0.9502688172043012,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-0.13658123703411285,0.00023431099460362412,0.0002612945510789447
FONTIBON,2020-08-01,13.948433048433047,12.591845493562232,16.244921316165954,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.939516129032258,0.939516129032258,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,2.557611285017529,0.00045839656527481927,0.0005111861052113065
KENNEDY,2020-08-01,16.47157001414427,16.175386779184247,16.47918424753868,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9556451612903226,0.9556451612903226,0.9502688172043012,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-16.500389310592105,0.0009108726904682378,0.0010157699648221607
PUENTE ARANDA,2020-08-01,15.089526542324249,14.96237623762376,6.365606936416185,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9502688172043012,0.9301075268817204,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-9.277816400288623,0.001111914288458758,0.0012399637726457828
SAN CRISTOBAL,2020-08-01,5.68712011577424,,11.342194092827004,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,,0.9556451612903226,0.928763440860215,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
