i,j
0,1
0,3
0,4
1,2
1,3
1,4
1,5
2,4
2,5
3,4
3,7
3,8
4,5
4,7
4,8
4,9
5,6
5,8
5,9
5,10
6,9
6,10
7,8
8,9
9,10
9,14
9,15
10,11
10,14
10,15
10,16
11,12
11,15
11,16
11,17
12,16
12,17
13,21
14,15
15,16
15,27
15,28
16,17
16,27
16,28
16,29
17,18
17,28
17,29
17,30
18,19
18,29
18,30
18,31
19,20
19,30
19,31
19,32
20,21
20,31
20,32
20,33
21,22
21,32
21,33
21,34
22,23
22,33
22,34
22,35
23,24
23,34
23,35
23,36
24,25
24,35
24,36
24,37
25,36
25,37
26,27
27,28
27,39
27,40
28,29
28,39
28,40
28,41
29,30
29,40
29,41
29,42
30,31
30,41
30,42
30,43
31,32
31,42
31,43
31,44
32,33
32,43
32,44
32,45
33,34
33,44
33,45
33,46
34,35
34,45
34,46
34,47
35,36
35,46
35,47
35,48
36,37
36,47
36,48
36,49
37,38
37,48
37,49
37,50
38,49
38,50
39,40
40,41
41,42
41,51
41,52
42,43
42,51
42,52
42,53
43,44
43,52
43,53
43,54
44,45
44,53
44,54
44,55
45,46
45,54
45,55
45,56
46,47
46,55
46,56
46,57
47,48
47,56
47,57
47,58
48,49
48,57
48,58
48,59
49,50
49,58
49,59
51,52
52,53
53,54
53,60
53,61
54,55
54,60
54,61
54,62
55,56
55,61
55,62
55,63
56,57
56,62
56,63
56,64
57,58
57,63
57,64
57,65
58,59
58,64
58,65
58,66
59,65
59,66
60,61
61,62
62,63
62,71
62,72
63,64
63,71
63,72
63,73
64,65
64,72
64,73
64,74
65,66
65,73
65,74
65,75
66,67
66,74
66,75
66,76
67,68
67,75
67,76
67,77
68,69
68,76
68,77
68,78
69,70
69,77
69,78
69,79
70,78
70,79
71,72
72,73
72,90
72,91
73,74
73,90
73,91
73,92
74,75
74,91
74,92
74,93
75,76
75,92
75,93
75,94
76,77
76,93
76,94
76,95
77,78
77,94
77,95
77,96
78,79
78,95
78,96
78,97
79,80
79,96
79,97
79,98
80,81
80,97
80,98
80,99
81,82
81,98
81,99
81,100
82,83
82,99
82,100
82,101
83,84
83,100
83,101
83,102
84,85
84,101
84,102
84,103
85,86
85,102
85,103
85,104
86,87
86,103
86,104
86,105
87,104
87,105
88,89
88,111
88,112
89,111
89,112
90,91
90,114
90,115
91,92
91,114
91,115
91,116
92,93
92,115
92,116
92,117
93,94
93,116
93,117
93,118
94,95
94,117
94,118
94,119
95,96
95,118
95,119
95,120
96,97
96,119
96,120
96,121
97,98
97,120
97,121
97,122
98,99
98,121
98,122
98,123
99,100
99,122
99,123
99,124
100,101
100,123
100,124
100,125
101,102
101,124
101,125
101,126
102,103
102,125
102,126
102,127
103,104
103,126
103,127
103,128
104,105
104,127
104,128
104,129
105,106
105,128
105,129
105,130
106,107
106,129
106,130
106,131
107,130
107,131
108,109
108,132
108,133
109,132
109,133
110,111
110,135
110,136
111,112
111,135
111,136
111,137
112,113
112,136
112,137
114,115
114,141
114,142
115,116
115,141
115,142
115,143
116,117
116,142
116,143
116,144
117,118
117,143
117,144
117,145
118,119
118,144
118,145
118,146
119,120
119,145
119,146
119,147
120,121
120,146
120,147
120,148
121,122
121,147
121,148
121,149
122,123
122,148
122,149
122,150
123,124
123,149
123,150
123,151
124,125
124,150
124,151
124,152
125,126
125,151
125,152
125,153
126,127
126,152
126,153
126,154
127,128
127,153
127,154
127,155
128,129
128,154
128,155
128,156
129,130
129,155
129,156
129,157
130,131
130,156
130,157
130,158
131,132
131,157
131,158
131,159
132,133
132,158
132,159
132,160
133,134
133,159
133,160
133,161
134,135
134,160
134,161
134,162
135,136
135,161
135,162
135,163
136,137
136,162
136,163
136,164
137,138
137,163
137,164
137,165
138,139
138,164
138,165
138,166
139,140
139,165
139,166
139,167
140,166
140,167
141,142
142,143
142,169
142,170
143,144
143,169
143,170
144,145
144,171
144,172
145,146
145,171
145,172
145,173
146,147
146,172
146,173
146,174
147,148
147,173
147,174
147,175
148,149
148,174
148,175
149,150
150,151
151,152
152,153
152,176
152,177
153,154
153,176
153,177
153,178
154,155
154,177
154,178
154,179
155,156
155,178
155,179
155,180
156,157
156,179
156,180
156,181
157,158
157,180
157,181
157,182
158,159
158,181
158,182
158,183
159,160
159,182
159,183
159,184
160,161
160,183
160,184
160,185
161,162
161,184
161,185
161,186
162,163
162,185
162,186
162,187
163,164
163,186
163,187
163,188
164,165
164,187
164,188
164,189
165,166
165,188
165,189
165,190
166,167
166,189
166,190
166,191
167,168
167,190
167,191
167,192
168,191
168,192
169,170
171,172
171,195
171,196
172,173
172,195
172,196
173,174
174,175
176,177
177,178
177,197
177,198
178,179
178,197
178,198
179,180
180,181
181,182
181,199
181,200
182,183
182,199
182,200
182,201
183,184
183,200
183,201
183,202
184,185
184,201
184,202
184,203
185,186
185,202
185,203
185,204
186,187
186,203
186,204
186,205
187,188
187,204
187,205
187,206
188,189
188,205
188,206
188,207
189,190
189,206
189,207
189,208
190,191
190,207
190,208
190,209
191,192
191,208
191,209
191,210
192,193
192,209
192,210
192,211
193,194
193,210
193,211
193,212
194,211
194,212
195,196
197,198
199,200
200,201
200,214
200,215
201,202
201,214
201,215
201,216
202,203
202,215
202,216
202,217
203,204
203,216
203,217
203,218
204,205
204,217
204,218
204,219
205,206
205,218
205,219
205,220
206,207
206,219
206,220
206,221
207,208
207,220
207,221
207,222
208,209
208,221
208,222
208,223
209,210
209,222
209,223
209,224
210,211
210,223
210,224
210,225
211,212
211,224
