i,j
0,1
0,4
0,3
1,0
1,2
1,3
1,4
1,5
2,1
2,4
2,5
3,0
3,1
3,7
3,8
3,4
4,0
4,1
4,2
4,3
4,5
4,7
4,8
4,9
5,1
5,2
5,8
5,9
5,10
5,4
5,6
6,5
6,9
6,10
7,3
7,4
7,8
8,7
8,9
8,3
8,4
8,5
9,8
9,10
9,4
9,5
9,6
9,14
9,15
10,9
10,11
10,5
10,6
10,14
10,15
10,16
11,17
11,10
11,12
11,15
11,16
12,17
12,11
12,16
13,21
14,9
14,10
14,15
15,9
15,10
15,11
15,27
15,28
15,14
15,16
16,17
16,27
16,28
16,29
16,10
16,11
16,12
16,15
17,18
17,11
17,12
17,28
17,29
17,30
17,16
18,17
18,19
18,29
18,30
18,31
19,18
19,20
19,30
19,31
19,32
20,19
20,21
20,31
20,32
20,33
21,20
21,22
21,13
21,32
21,33
21,34
22,21
22,23
22,33
22,34
22,35
23,36
23,22
23,24
23,34
23,35
24,36
24,37
24,23
24,25
24,35
25,36
25,37
25,24
26,27
27,39
27,40
27,26
27,28
27,15
27,16
28,17
28,27
28,29
28,39
28,40
28,41
28,15
28,16
29,17
29,18
29,28
29,30
29,40
29,41
29,42
29,16
30,17
30,18
30,19
30,29
30,31
30,41
30,42
30,43
31,18
31,19
31,20
31,30
31,32
31,42
31,43
31,44
32,19
32,20
32,21
32,31
32,33
32,43
32,44
32,45
33,20
33,21
33,22
33,32
33,34
33,44
33,45
33,46
34,21
34,22
34,23
34,33
34,35
34,45
34,46
34,47
35,22
35,23
35,24
35,34
35,36
35,46
35,47
35,48
36,23
36,24
36,25
36,35
36,37
36,47
36,48
36,49
37,36
37,38
37,24
37,25
37,48
37,49
37,50
38,37
38,49
38,50
39,28
39,40
39,27
40,39
40,41
40,27
40,28
40,29
41,40
41,42
41,28
41,29
41,30
41,51
41,52
42,29
42,30
42,31
42,41
42,43
42,51
42,52
42,53
43,30
43,31
43,32
43,42
43,44
43,52
43,53
43,54
44,31
44,32
44,33
44,43
44,45
44,53
44,54
44,55
45,56
45,32
45,33
45,34
45,44
45,46
45,54
45,55
46,56
46,57
46,33
46,34
46,35
46,45
46,47
46,55
47,56
47,57
47,58
47,34
47,35
47,36
47,46
47,48
48,57
48,58
48,59
48,35
48,36
48,37
48,47
48,49
49,36
49,37
49,58
49,59
49,38
49,48
49,50
50,38
50,37
50,49
51,41
51,42
51,52
52,41
52,42
52,43
52,51
52,53
53,42
53,43
53,44
53,60
53,61
53,52
53,54
54,60
54,61
54,62
54,43
54,44
54,45
54,53
54,55
55,56
55,61
55,62
55,63
55,44
55,45
55,46
55,54
56,57
56,62
56,63
56,64
56,45
56,46
56,47
56,55
57,56
57,58
57,63
57,64
57,65
57,46
57,47
57,48
58,57
58,59
58,64
58,65
58,66
58,47
58,48
58,49
59,58
59,48
59,49
59,65
59,66
60,53
60,54
60,61
61,60
61,62
61,53
61,54
61,55
62,56
62,71
62,72
62,61
62,63
62,54
62,55
63,56
63,57
63,62
63,64
63,71
63,72
63,73
63,55
64,56
64,57
64,58
64,63
64,65
64,72
64,73
64,74
65,57
65,58
65,59
65,64
65,66
65,73
65,74
65,75
66,58
66,59
66,74
66,75
66,76
66,65
66,67
67,75
67,76
67,77
67,66
67,68
68,76
68,77
68,78
68,67
68,69
69,70
69,77
69,78
69,79
69,68
70,78
70,79
70,69
71,62
71,63
71,72
72,71
72,73
72,62
72,63
72,64
72,90
72,91
73,63
73,64
73,65
73,72
73,74
73,90
73,91
73,92
74,64
74,65
74,66
74,73
74,75
74,91
74,92
74,93
75,65
75,66
75,67
75,74
75,76
75,92
75,93
75,94
76,95
76,66
76,67
76,68
76,75
76,77
76,93
76,94
77,95
77,96
77,67
77,68
77,69
77,76
77,78
77,94
78,95
78,96
78,97
78,68
78,69
78,70
78,77
78,79
79,70
79,96
79,97
79,98
79,78
79,80
79,69
80,97
80,98
80,99
80,79
80,81
81,98
81,99
81,100
81,80
81,82
82,99
82,100
82,101
82,81
82,83
83,100
83,101
83,102
83,82
83,84
84,101
84,102
84,103
84,83
84,85
85,86
85,102
85,103
85,104
85,84
86,87
86,103
86,104
86,105
86,85
87,86
87,104
87,105
88,89
88,112
88,111
89,88
89,111
89,112
90,72
90,73
90,114
90,115
90,91
91,114
91,115
91,116
91,72
91,73
91,74
91,90
91,92
92,115
92,116
92,117
92,73
92,74
92,75
92,91
92,93
93,116
93,117
93,118
93,74
93,75
93,76
93,92
93,94
94,95
94,117
94,118
94,119
94,75
94,76
94,77
94,93
95,96
95,118
95,119
95,120
95,76
95,77
95,78
95,94
96,95
96,97
96,119
96,120
96,121
96,77
96,78
96,79
97,96
97,98
97,120
97,121
97,122
97,78
97,79
97,80
98,97
98,99
98,121
98,122
98,123
98,79
98,80
98,81
99,98
99,100
99,122
99,123
99,124
99,80
99,81
99,82
100,99
100,101
100,123
100,124
100,125
100,81
100,82
100,83
