cell_id,n_vecinas
0,3
1,5
2,3
41,5
42,8
43,7
44,3
82,3
83,5
84,7
85,7
86,5
87,3
91,1
125,3
126,7
127,8
128,7
129,5
130,5
131,5
132,6
133,5
134,5
135,5
136,3
166,1
167,6
168,8
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,7
178,3
208,3
209,5
210,7
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,7
219,3
251,3
252,5
253,7
254,8
255,8
256,8
257,8
258,8
259,5
294,3
295,5
296,7
297,8
298,8
299,8
300,7
301,5
302,5
303,5
304,3
337,3
338,7
339,8
340,8
341,8
342,8
343,8
344,8
345,7
346,5
347,5
348,5
349,5
350,5
351,5
352,5
353,3
360,3
361,3
379,5
380,8
381,8
382,8
383,8
384,8
385,8
386,8
387,8
388,8
389,8
390,8
391,8
392,8
393,8
394,7
395,5
396,3
397,3
398,3
400,3
401,7
402,6
403,1
420,5
421,8
422,8
423,8
424,8
425,8
426,8
427,8
428,8
429,8
430,8
431,8
432,8
433,8
434,8
435,8
436,8
437,7
438,7
439,7
440,5
441,7
442,8
443,7
444,5
445,5
446,3
461,3
462,7
463,7
464,7
465,8
466,8
467,8
468,7
469,5
470,5
471,5
472,7
473,8
474,8
475,8
476,8
477,8
478,8
479,8
480,8
481,8
482,8
483,8
484,8
485,8
486,8
487,7
488,3
503,3
504,3
505,5
506,7
507,5
508,5
509,3
513,3
514,7
515,7
516,5
517,5
518,7
519,8
520,8
521,8
522,8
523,8
524,8
525,8
526,8
527,8
528,8
529,7
530,5
531,3
546,3
547,3
555,3
556,3
559,3
560,7
561,8
562,8
563,8
564,8
565,8
566,8
567,8
568,8
569,8
570,8
571,8
572,7
573,3
601,3
602,7
603,8
604,8
605,8
606,8
607,8
608,8
609,8
610,8
611,8
612,8
613,8
614,5
643,3
644,5
645,7
646,8
647,8
648,7
649,7
650,8
651,8
652,8
653,8
654,8
655,5
686,3
687,5
688,7
689,5
690,3
691,5
692,5
693,5
694,5
695,5
696,3
729,3
730,3
