Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1,1,AnnualMean,,None,15.051786
2,1,AnnualMean,,None,14.730532
3,1,AnnualMean,,None,14.851986
1,2,AnnualMean,,None,14.821127
2,2,AnnualMean,,None,14.056199
3,2,AnnualMean,,None,15.349539
1,3,AnnualMean,,None,14.784378
2,3,AnnualMean,,None,14.33477
3,3,AnnualMean,,None,14.708954
4,3,AnnualMean,,None,14.627842
5,3,AnnualMean,,None,14.511329
2,4,AnnualMean,,None,14.356477
3,4,AnnualMean,,None,14.074694
4,4,AnnualMean,,None,15.204728
5,4,AnnualMean,,None,14.615122
6,4,AnnualMean,,None,14.777784
3,5,AnnualMean,,None,14.518727
4,5,AnnualMean,,None,14.706946
5,5,AnnualMean,,None,14.711632
6,5,AnnualMean,,None,14.625932
3,6,AnnualMean,,None,14.44531
4,6,AnnualMean,,None,14.383237
5,6,AnnualMean,,None,14.81878
6,6,AnnualMean,,None,14.589666
7,6,AnnualMean,,None,14.315547
4,7,AnnualMean,,None,14.486095
5,7,AnnualMean,,None,15.024436
6,7,AnnualMean,,None,14.315418
7,7,AnnualMean,,None,14.451853
4,8,AnnualMean,,None,14.672434
5,8,AnnualMean,,None,15.517457
6,8,AnnualMean,,None,14.291642
7,8,AnnualMean,,None,14.797355
8,8,AnnualMean,,None,14.975031
4,9,AnnualMean,,None,14.368322
5,9,AnnualMean,,None,15.083799
6,9,AnnualMean,,None,14.407217
7,9,AnnualMean,,None,14.512623
8,9,AnnualMean,,None,14.551768
3,10,AnnualMean,,None,14.903653
4,10,AnnualMean,,None,14.50391
5,10,AnnualMean,,None,14.879284
6,10,AnnualMean,,None,14.397149
7,10,AnnualMean,,None,14.747869
8,10,AnnualMean,,None,14.269907
9,10,AnnualMean,,None,15.214248
4,11,AnnualMean,,None,14.411282
5,11,AnnualMean,,None,15.430071
6,11,AnnualMean,,None,14.369784
7,11,AnnualMean,,None,14.629659
8,11,AnnualMean,,None,14.457072
9,11,AnnualMean,,None,14.437464
10,11,AnnualMean,,None,14.457656
11,11,AnnualMean,,None,14.591086
12,11,AnnualMean,,None,14.616807
4,12,AnnualMean,,None,14.278879
5,12,AnnualMean,,None,15.117069
6,12,AnnualMean,,None,14.575056
7,12,AnnualMean,,None,14.467579
8,12,AnnualMean,,None,14.538727
9,12,AnnualMean,,None,14.933947
10,12,AnnualMean,,None,14.109404
11,12,AnnualMean,,None,14.532133
12,12,AnnualMean,,None,14.335666
13,12,AnnualMean,,None,14.703956
4,13,AnnualMean,,None,14.180597
5,13,AnnualMean,,None,14.564081
6,13,AnnualMean,,None,14.793558
7,13,AnnualMean,,None,14.685433
8,13,AnnualMean,,None,14.9673
9,13,AnnualMean,,None,14.535981
10,13,AnnualMean,,None,14.682742
11,13,AnnualMean,,None,14.8759
12,13,AnnualMean,,None,14.449354
13,13,AnnualMean,,None,14.535689
4,14,AnnualMean,,None,15.164255
5,14,AnnualMean,,None,13.551849
6,14,AnnualMean,,None,15.469
7,14,AnnualMean,,None,14.50058
8,14,AnnualMean,,None,14.892023
9,14,AnnualMean,,None,14.391765
10,14,AnnualMean,,None,14.560226
11,14,AnnualMean,,None,14.52608
12,14,AnnualMean,,None,14.428
13,14,AnnualMean,,None,14.691197
14,14,AnnualMean,,None,14.853434
5,15,AnnualMean,,None,14.311527
6,15,AnnualMean,,None,15.451682
8,15,AnnualMean,,None,14.536717
9,15,AnnualMean,,None,14.523356
10,15,AnnualMean,,None,14.774187
11,15,AnnualMean,,None,14.107851
12,15,AnnualMean,,None,14.57232
13,15,AnnualMean,,None,14.471958
14,15,AnnualMean,,None,14.543856
8,16,AnnualMean,,None,14.485395
9,16,AnnualMean,,None,14.913512
10,16,AnnualMean,,None,14.739174
11,16,AnnualMean,,None,14.271088
12,16,AnnualMean,,None,14.725887
13,16,AnnualMean,,None,14.360191
8,17,AnnualMean,,None,14.378428
9,17,AnnualMean,,None,15.010708
10,17,AnnualMean,,None,14.430423
11,17,AnnualMean,,None,14.581804
12,17,AnnualMean,,None,14.278195
13,17,AnnualMean,,None,14.312792
8,18,AnnualMean,,None,14.918729
