Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1,1,AnnualMean,,Mean,15.051786
2,1,AnnualMean,,Mean,14.730532
3,1,AnnualMean,,Mean,14.851986
1,2,AnnualMean,,Mean,14.821127
2,2,AnnualMean,,Mean,14.056199
3,2,AnnualMean,,Mean,15.349539
1,3,AnnualMean,,Mean,14.784378
2,3,AnnualMean,,Mean,14.33477
3,3,AnnualMean,,Mean,14.708954
4,3,AnnualMean,,Mean,14.627842
5,3,AnnualMean,,Mean,14.511329
2,4,AnnualMean,,Mean,14.356477
3,4,AnnualMean,,Mean,14.074694
4,4,AnnualMean,,Mean,15.204728
5,4,AnnualMean,,Mean,14.615122
6,4,AnnualMean,,Mean,14.777784
3,5,AnnualMean,,Mean,14.518727
4,5,AnnualMean,,Mean,14.706946
5,5,AnnualMean,,Mean,14.711632
6,5,AnnualMean,,Mean,14.625932
3,6,AnnualMean,,Mean,14.44531
4,6,AnnualMean,,Mean,14.383237
5,6,AnnualMean,,Mean,14.81878
6,6,AnnualMean,,Mean,14.589666
7,6,AnnualMean,,Mean,14.315547
4,7,AnnualMean,,Mean,14.486095
5,7,AnnualMean,,Mean,15.024436
6,7,AnnualMean,,Mean,14.315418
7,7,AnnualMean,,Mean,14.451853
4,8,AnnualMean,,Mean,14.672434
5,8,AnnualMean,,Mean,15.517457
6,8,AnnualMean,,Mean,14.291642
7,8,AnnualMean,,Mean,14.797355
8,8,AnnualMean,,Mean,14.975031
4,9,AnnualMean,,Mean,14.368322
5,9,AnnualMean,,Mean,15.083799
6,9,AnnualMean,,Mean,14.407217
7,9,AnnualMean,,Mean,14.512623
8,9,AnnualMean,,Mean,14.551768
3,10,AnnualMean,,Mean,14.903653
4,10,AnnualMean,,Mean,14.50391
5,10,AnnualMean,,Mean,14.879284
6,10,AnnualMean,,Mean,14.397149
7,10,AnnualMean,,Mean,14.747869
8,10,AnnualMean,,Mean,14.269907
9,10,AnnualMean,,Mean,15.214248
4,11,AnnualMean,,Mean,14.411282
5,11,AnnualMean,,Mean,15.430071
6,11,AnnualMean,,Mean,14.369784
7,11,AnnualMean,,Mean,14.629659
8,11,AnnualMean,,Mean,14.457072
9,11,AnnualMean,,Mean,14.437464
10,11,AnnualMean,,Mean,14.457656
11,11,AnnualMean,,Mean,14.591086
12,11,AnnualMean,,Mean,14.616807
4,12,AnnualMean,,Mean,14.278879
5,12,AnnualMean,,Mean,15.117069
6,12,AnnualMean,,Mean,14.575056
7,12,AnnualMean,,Mean,14.467579
8,12,AnnualMean,,Mean,14.538727
9,12,AnnualMean,,Mean,14.933947
10,12,AnnualMean,,Mean,14.109404
11,12,AnnualMean,,Mean,14.532133
12,12,AnnualMean,,Mean,14.335666
13,12,AnnualMean,,Mean,14.703956
4,13,AnnualMean,,Mean,14.180597
5,13,AnnualMean,,Mean,14.564081
6,13,AnnualMean,,Mean,14.793558
7,13,AnnualMean,,Mean,14.685433
8,13,AnnualMean,,Mean,14.9673
9,13,AnnualMean,,Mean,14.535981
10,13,AnnualMean,,Mean,14.682742
11,13,AnnualMean,,Mean,14.8759
12,13,AnnualMean,,Mean,14.449354
13,13,AnnualMean,,Mean,14.535689
4,14,AnnualMean,,Mean,15.164255
5,14,AnnualMean,,Mean,13.551849
6,14,AnnualMean,,Mean,15.469
7,14,AnnualMean,,Mean,14.50058
8,14,AnnualMean,,Mean,14.892023
9,14,AnnualMean,,Mean,14.391765
10,14,AnnualMean,,Mean,14.560226
11,14,AnnualMean,,Mean,14.52608
12,14,AnnualMean,,Mean,14.428
13,14,AnnualMean,,Mean,14.691197
14,14,AnnualMean,,Mean,14.853434
5,15,AnnualMean,,Mean,14.311527
6,15,AnnualMean,,Mean,15.451682
8,15,AnnualMean,,Mean,14.536717
9,15,AnnualMean,,Mean,14.523356
10,15,AnnualMean,,Mean,14.774187
11,15,AnnualMean,,Mean,14.107851
12,15,AnnualMean,,Mean,14.57232
13,15,AnnualMean,,Mean,14.471958
14,15,AnnualMean,,Mean,14.543856
8,16,AnnualMean,,Mean,14.485395
9,16,AnnualMean,,Mean,14.913512
10,16,AnnualMean,,Mean,14.739174
11,16,AnnualMean,,Mean,14.271088
12,16,AnnualMean,,Mean,14.725887
13,16,AnnualMean,,Mean,14.360191
8,17,AnnualMean,,Mean,14.378428
9,17,AnnualMean,,Mean,15.010708
10,17,AnnualMean,,Mean,14.430423
11,17,AnnualMean,,Mean,14.581804
12,17,AnnualMean,,Mean,14.278195
13,17,AnnualMean,,Mean,14.312792
8,18,AnnualMean,,Mean,14.918729
9,18,AnnualMean,,Mean,14.461754
10,18,AnnualMean,,Mean,14.494041
11,18,AnnualMean,,Mean,15.018936
12,18,AnnualMean,,Mean,14.435931
13,18,AnnualMean,,Mean,14.593499
9,19,AnnualMean,,Mean,14.525429
10,19,AnnualMean,,Mean,14.675008
11,19,AnnualMean,,Mean,14.156662
12,19,AnnualMean,,Mean,14.684957
9,20,AnnualMean,,Mean,14.751108
10,20,AnnualMean,,Mean,14.506031
11,20,AnnualMean,,Mean,14.694191
12,20,AnnualMean,,Mean,14.30122
9,21,AnnualMean,,Mean,14.583423
10,21,AnnualMean,,Mean,14.443634
11,21,AnnualMean,,Mean,14.656876
12,21,AnnualMean,,Mean,14.654471
9,22,AnnualMean,,Mean,14.807953
10,22,AnnualMean,,Mean,14.830692
11,22,AnnualMean,,Mean,14.354629
12,22,AnnualMean,,Mean,15.162055
13,22,AnnualMean,,Mean,14.493528
9,23,AnnualMean,,Mean,15.189519
10,23,AnnualMean,,Mean,14.516399
11,23,AnnualMean,,Mean,14.637389
12,23,AnnualMean,,Mean,14.437428
13,23,AnnualMean,,Mean,14.78811
14,23,AnnualMean,,Mean,14.737041
9,24,AnnualMean,,Mean,14.677069
10,24,AnnualMean,,Mean,14.437028
11,24,AnnualMean,,Mean,14.394165
12,24,AnnualMean,,Mean,14.3479
13,24,AnnualMean,,Mean,14.381005
14,24,AnnualMean,,Mean,14.704704
9,25,AnnualMean,,Mean,14.814924
10,25,AnnualMean,,Mean,14.683365
11,25,AnnualMean,,Mean,14.615334
12,25,AnnualMean,,Mean,14.928507
13,25,AnnualMean,,Mean,14.278245
9,26,AnnualMean,,Mean,14.875034
10,26,AnnualMean,,Mean,14.578381
11,26,AnnualMean,,Mean,14.624067
12,26,AnnualMean,,Mean,14.919369
13,26,AnnualMean,,Mean,14.816554
10,27,AnnualMean,,Mean,15.035378
11,27,AnnualMean,,Mean,14.659153
12,27,AnnualMean,,Mean,14.942816
13,27,AnnualMean,,Mean,14.787259
14,27,AnnualMean,,Mean,14.69189
10,28,AnnualMean,,Mean,15.177549
11,28,AnnualMean,,Mean,15.137069
12,28,AnnualMean,,Mean,14.771513
13,28,AnnualMean,,Mean,14.8227
14,28,AnnualMean,,Mean,14.629094
15,28,AnnualMean,,Mean,14.313557
10,29,AnnualMean,,Mean,14.7623
11,29,AnnualMean,,Mean,14.675081
12,29,AnnualMean,,Mean,14.549352
13,29,AnnualMean,,Mean,14.816626
14,29,AnnualMean,,Mean,14.814391
15,29,AnnualMean,,Mean,14.442827
16,29,AnnualMean,,Mean,14.470425
10,30,AnnualMean,,Mean,15.119547
11,30,AnnualMean,,Mean,15.06313
12,30,AnnualMean,,Mean,14.563185
13,30,AnnualMean,,Mean,14.741675
14,30,AnnualMean,,Mean,14.768788
15,30,AnnualMean,,Mean,15.055012
16,30,AnnualMean,,Mean,14.480669
11,31,AnnualMean,,Mean,15.282165
12,31,AnnualMean,,Mean,14.809542
13,31,AnnualMean,,Mean,14.832608
14,31,AnnualMean,,Mean,13.890915
15,31,AnnualMean,,Mean,14.314403
16,31,AnnualMean,,Mean,14.708652
17,31,AnnualMean,,Mean,14.698648
10,32,AnnualMean,,Mean,15.764779
11,32,AnnualMean,,Mean,19.174872
12,32,AnnualMean,,Mean,21.946352
13,32,AnnualMean,,Mean,14.96905
14,32,AnnualMean,,Mean,11.670833
15,32,AnnualMean,,Mean,14.752682
16,32,AnnualMean,,Mean,15.222192
17,32,AnnualMean,,Mean,14.640176
9,33,AnnualMean,,Mean,15.903243
10,33,AnnualMean,,Mean,14.580532
11,33,AnnualMean,,Mean,21.114843
12,33,AnnualMean,,Mean,16.444023
13,33,AnnualMean,,Mean,15.333234
14,33,AnnualMean,,Mean,15.033903
15,33,AnnualMean,,Mean,13.401107
16,33,AnnualMean,,Mean,14.923112
17,33,AnnualMean,,Mean,14.969126
18,33,AnnualMean,,Mean,14.54009
9,34,AnnualMean,,Mean,15.140815
10,34,AnnualMean,,Mean,14.016855
11,34,AnnualMean,,Mean,14.284132
12,34,AnnualMean,,Mean,15.933223
13,34,AnnualMean,,Mean,16.807461
14,34,AnnualMean,,Mean,14.093414
15,34,AnnualMean,,Mean,14.651209
16,34,AnnualMean,,Mean,14.877076
17,34,AnnualMean,,Mean,14.468387
18,34,AnnualMean,,Mean,14.684069
10,35,AnnualMean,,Mean,15.237925
11,35,AnnualMean,,Mean,14.754074
12,35,AnnualMean,,Mean,20.057226
13,35,AnnualMean,,Mean,14.002111
14,35,AnnualMean,,Mean,13.211545
15,35,AnnualMean,,Mean,14.732227
16,35,AnnualMean,,Mean,14.825377
17,35,AnnualMean,,Mean,15.344357
11,36,AnnualMean,,Mean,15.35702
12,36,AnnualMean,,Mean,16.080378
13,36,AnnualMean,,Mean,14.657943
14,36,AnnualMean,,Mean,14.242217
15,36,AnnualMean,,Mean,15.160508
16,36,AnnualMean,,Mean,15.342016
17,36,AnnualMean,,Mean,15.097577
11,37,AnnualMean,,Mean,14.259759
12,37,AnnualMean,,Mean,15.307591
13,37,AnnualMean,,Mean,15.165018
14,37,AnnualMean,,Mean,14.025217
15,37,AnnualMean,,Mean,14.307481
16,37,AnnualMean,,Mean,10.931647
17,37,AnnualMean,,Mean,15.012504
12,38,AnnualMean,,Mean,14.853942
13,38,AnnualMean,,Mean,14.956402
14,38,AnnualMean,,Mean,14.650819
15,38,AnnualMean,,Mean,10.534567
16,38,AnnualMean,,Mean,14.710739
17,38,AnnualMean,,Mean,15.323704
13,39,AnnualMean,,Mean,15.233346
14,39,AnnualMean,,Mean,14.850792
15,39,AnnualMean,,Mean,16.073815
16,39,AnnualMean,,Mean,13.796594
17,39,AnnualMean,,Mean,15.852154
13,40,AnnualMean,,Mean,15.175333
14,40,AnnualMean,,Mean,15.251705
15,40,AnnualMean,,Mean,15.212875
16,40,AnnualMean,,Mean,15.36808
17,40,AnnualMean,,Mean,15.495246
14,41,AnnualMean,,Mean,15.416669
15,41,AnnualMean,,Mean,15.302878
16,41,AnnualMean,,Mean,15.069277
17,41,AnnualMean,,Mean,15.81509
