Endpoint Group,Endpoint,Race,Ethnicity,Gender,Start Age,End Age,Column,Row,Value,Type
Mortality,All-cause mortality,,,,65,99,1,1,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,2,1,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,3,1,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,1,2,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,2,2,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,3,2,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,1,3,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,2,3,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,3,3,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,3,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,3,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,2,4,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,3,4,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,4,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,4,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,4,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,3,5,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,5,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,5,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,5,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,3,6,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,6,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,6,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,6,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,6,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,7,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,7,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,7,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,7,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,8,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,8,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,8,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,8,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,8,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,9,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,9,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,9,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,9,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,9,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,3,10,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,10,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,10,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,10,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,10,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,10,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,10,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,11,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,12,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,13,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,4,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,7,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,14,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,5,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,6,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,18,6.44018355644251e-05,
