archivo,formato,ok,n_filas,n_columnas,columnas,error
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORTALIDAD\Mortalidad_2020_sin_macros.xlsx,.xlsx,True,108.0,96.0,Departamento de residencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad) | Unnamed: 1 | TOTAL | Total | Unnamed: 4 | Unnamed: 5 | Menor 1 hora | Unnamed: 7 | Unnamed: 8 | De 1 a 23 horas | Unnamed: 10 | Unnamed: 11 | De 1 a 6 días | Unnamed: 13 | Unnamed: 14 | De 7 a 27 dias | Unnamed: 16 | Unnamed: 17 | De 28 a 29 días | Unnamed: 19 | Unnamed: 20 | De 1 a 5 meses | Unnamed: 22 | Unnamed: 23 | De 6 a 11 meses | Unnamed: 25 | Unnamed: 26 | De 1 año | Unnamed: 28 | Unnamed: 29 | De 2 a 4 años | Unnamed: 31 | Unnamed: 32 | De 5 a 9 años | Unnamed: 34 | Unnamed: 35 | De 10 a 14 años | Unnamed: 37 | Unnamed: 38 | De 15 a 19 años | Unnamed: 40 | Unnamed: 41 | De 20 a 24 años | Unnamed: 43 | Unnamed: 44 | De 25 a 29 años | Unnamed: 46 | Unnamed: 47 | De 30 a 34 años | Unnamed: 49 | Unnamed: 50 | De 35 a 39 años | Unnamed: 52 | Unnamed: 53 | De 40 a 44 años | Unnamed: 55 | Unnamed: 56 | De 45 a 49 años | Unnamed: 58 | Unnamed: 59 | De 50 a 54 años | Unnamed: 61 | Unnamed: 62 | De 55 a 59 años | Unnamed: 64 | Unnamed: 65 | De 60 a 64 años | Unnamed: 67 | Unnamed: 68 | De 65 a 69 años | Unnamed: 70 | Unnamed: 71 | De 70 a 74 años | Unnamed: 73 | Unnamed: 74 | De 75 a 79 años | Unnamed: 76 | Unnamed: 77 | De 80 a 84 años | Unnamed: 79 | Unnamed: 80 | De 85 a 89 años | Unnamed: 82 | Unnamed: 83 | De 90 a 94 años | Unnamed: 85 | Unnamed: 86 | De 95 a 99 años | Unnamed: 88 | Unnamed: 89 | De 100 años y más | Unnamed: 91 | Unnamed: 92 | Edad desconocida | Unnamed: 94 | Unnamed: 95,
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORTALIDAD\Mortalidad_2021_sin_macros.xlsx,.xlsx,True,107.0,96.0,Departamento de residencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad) | Unnamed: 1 | Total | Total.1 | Unnamed: 4 | Unnamed: 5 | Menor 1 hora | Unnamed: 7 | Unnamed: 8 | De 1 a 23 horas | Unnamed: 10 | Unnamed: 11 | De 1 a 6 días | Unnamed: 13 | Unnamed: 14 | De 7 a 27 dias | Unnamed: 16 | Unnamed: 17 | De 28 a 29 días | Unnamed: 19 | Unnamed: 20 | De 1 a 5 meses | Unnamed: 22 | Unnamed: 23 | De 6 a 11 meses | Unnamed: 25 | Unnamed: 26 | De 1 año | Unnamed: 28 | Unnamed: 29 | De 2 a 4 años | Unnamed: 31 | Unnamed: 32 | De 5 a 9 años | Unnamed: 34 | Unnamed: 35 | De 10 a 14 años | Unnamed: 37 | Unnamed: 38 | De 15 a 19 años | Unnamed: 40 | Unnamed: 41 | De 20 a 24 años | Unnamed: 43 | Unnamed: 44 | De 25 a 29 años | Unnamed: 46 | Unnamed: 47 | De 30 a 34 años | Unnamed: 49 | Unnamed: 50 | De 35 a 39 años | Unnamed: 52 | Unnamed: 53 | De 40 a 44 años | Unnamed: 55 | Unnamed: 56 | De 45 a 49 años | Unnamed: 58 | Unnamed: 59 | De 50 a 54 años | Unnamed: 61 | Unnamed: 62 | De 55 a 59 años | Unnamed: 64 | Unnamed: 65 | De 60 a 64 años | Unnamed: 67 | Unnamed: 68 | De 65 a 69 años | Unnamed: 70 | Unnamed: 71 | De 70 a 74 años | Unnamed: 73 | Unnamed: 74 | De 75 a 79 años | Unnamed: 76 | Unnamed: 77 | De 80 a 84 años | Unnamed: 79 | Unnamed: 80 | De 85 a 89 años | Unnamed: 82 | Unnamed: 83 | De 90 a 94 años | Unnamed: 85 | Unnamed: 86 | De 95 a 99 años | Unnamed: 88 | Unnamed: 89 | De 100 años y más | Unnamed: 91 | Unnamed: 92 | Edad desconocida | Unnamed: 94 | Unnamed: 95,
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORTALIDAD\Mortalidad_2022_sin_macros.xlsx,.xlsx,True,107.0,96.0,Departamento de residencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad) | Unnamed: 1 | Total | Total.1 | Unnamed: 4 | Unnamed: 5 | Menor 1 hora | Unnamed: 7 | Unnamed: 8 | De 1 a 23 horas | Unnamed: 10 | Unnamed: 11 | De 1 a 6 días | Unnamed: 13 | Unnamed: 14 | De 7 a 27 dias | Unnamed: 16 | Unnamed: 17 | De 28 a 29 días | Unnamed: 19 | Unnamed: 20 | De 1 a 5 meses | Unnamed: 22 | Unnamed: 23 | De 6 a 11 meses | Unnamed: 25 | Unnamed: 26 | De 1 año | Unnamed: 28 | Unnamed: 29 | De 2 a 4 años | Unnamed: 31 | Unnamed: 32 | De 5 a 9 años | Unnamed: 34 | Unnamed: 35 | De 10 a 14 años | Unnamed: 37 | Unnamed: 38 | De 15 a 19 años | Unnamed: 40 | Unnamed: 41 | De 20 a 24 años | Unnamed: 43 | Unnamed: 44 | De 25 a 29 años | Unnamed: 46 | Unnamed: 47 | De 30 a 34 años | Unnamed: 49 | Unnamed: 50 | De 35 a 39 años | Unnamed: 52 | Unnamed: 53 | De 40 a 44 años | Unnamed: 55 | Unnamed: 56 | De 45 a 49 años | Unnamed: 58 | Unnamed: 59 | De 50 a 54 años | Unnamed: 61 | Unnamed: 62 | De 55 a 59 años | Unnamed: 64 | Unnamed: 65 | De 60 a 64 años | Unnamed: 67 | Unnamed: 68 | De 65 a 69 años | Unnamed: 70 | Unnamed: 71 | De 70 a 74 años | Unnamed: 73 | Unnamed: 74 | De 75 a 79 años | Unnamed: 76 | Unnamed: 77 | De 80 a 84 años | Unnamed: 79 | Unnamed: 80 | De 85 a 89 años | Unnamed: 82 | Unnamed: 83 | De 90 a 94 años | Unnamed: 85 | Unnamed: 86 | De 95 a 99 años | Unnamed: 88 | Unnamed: 89 | De 100 años y más | Unnamed: 91 | Unnamed: 92 | Edad desconocida | Unnamed: 94 | Unnamed: 95,
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORTALIDAD\Mortalidad_2023_sin_macros.xlsx,.xlsx,True,107.0,96.0,Departamento de residencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad) | Unnamed: 1 | Total | Total.1 | Unnamed: 4 | Unnamed: 5 | Menor 1 hora | Unnamed: 7 | Unnamed: 8 | De 1 a 23 horas | Unnamed: 10 | Unnamed: 11 | De 1 a 6 días | Unnamed: 13 | Unnamed: 14 | De 7 a 27 dias | Unnamed: 16 | Unnamed: 17 | De 28 a 29 días | Unnamed: 19 | Unnamed: 20 | De 1 a 5 meses | Unnamed: 22 | Unnamed: 23 | De 6 a 11 meses | Unnamed: 25 | Unnamed: 26 | De 1 año | Unnamed: 28 | Unnamed: 29 | De 2 a 4 años | Unnamed: 31 | Unnamed: 32 | De 5 a 9 años | Unnamed: 34 | Unnamed: 35 | De 10 a 14 años | Unnamed: 37 | Unnamed: 38 | De 15 a 19 años | Unnamed: 40 | Unnamed: 41 | De 20 a 24 años | Unnamed: 43 | Unnamed: 44 | De 25 a 29 años | Unnamed: 46 | Unnamed: 47 | De 30 a 34 años | Unnamed: 49 | Unnamed: 50 | De 35 a 39 años | Unnamed: 52 | Unnamed: 53 | De 40 a 44 años | Unnamed: 55 | Unnamed: 56 | De 45 a 49 años | Unnamed: 58 | Unnamed: 59 | De 50 a 54 años | Unnamed: 61 | Unnamed: 62 | De 55 a 59 años | Unnamed: 64 | Unnamed: 65 | De 60 a 64 años | Unnamed: 67 | Unnamed: 68 | De 65 a 69 años | Unnamed: 70 | Unnamed: 71 | De 70 a 74 años | Unnamed: 73 | Unnamed: 74 | De 75 a 79 años | Unnamed: 76 | Unnamed: 77 | De 80 a 84 años | Unnamed: 79 | Unnamed: 80 | De 85 a 89 años | Unnamed: 82 | Unnamed: 83 | De 90 a 94 años | Unnamed: 85 | Unnamed: 86 | De 95 a 99 años | Unnamed: 88 | Unnamed: 89 | De 100 años y más | Unnamed: 91 | Unnamed: 92 | Edad desconocida | Unnamed: 94 | Unnamed: 95,
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORTALIDAD\Mortalidad_2024_sin_macros.xlsx,.xlsx,True,107.0,96.0,Departamento de residencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad) | Unnamed: 1 | Total | Total.1 | Unnamed: 4 | Unnamed: 5 | Menor 1 hora | Unnamed: 7 | Unnamed: 8 | De 1 a 23 horas | Unnamed: 10 | Unnamed: 11 | De 1 a 6 días | Unnamed: 13 | Unnamed: 14 | De 7 a 27 dias | Unnamed: 16 | Unnamed: 17 | De 28 a 29 días | Unnamed: 19 | Unnamed: 20 | De 1 a 5 meses | Unnamed: 22 | Unnamed: 23 | De 6 a 11 meses | Unnamed: 25 | Unnamed: 26 | De 1 año | Unnamed: 28 | Unnamed: 29 | De 2 a 4 años | Unnamed: 31 | Unnamed: 32 | De 5 a 9 años | Unnamed: 34 | Unnamed: 35 | De 10 a 14 años | Unnamed: 37 | Unnamed: 38 | De 15 a 19 años | Unnamed: 40 | Unnamed: 41 | De 20 a 24 años | Unnamed: 43 | Unnamed: 44 | De 25 a 29 años | Unnamed: 46 | Unnamed: 47 | De 30 a 34 años | Unnamed: 49 | Unnamed: 50 | De 35 a 39 años | Unnamed: 52 | Unnamed: 53 | De 40 a 44 años | Unnamed: 55 | Unnamed: 56 | De 45 a 49 años | Unnamed: 58 | Unnamed: 59 | De 50 a 54 años | Unnamed: 61 | Unnamed: 62 | De 55 a 59 años | Unnamed: 64 | Unnamed: 65 | De 60 a 64 años | Unnamed: 67 | Unnamed: 68 | De 65 a 69 años | Unnamed: 70 | Unnamed: 71 | De 70 a 74 años | Unnamed: 73 | Unnamed: 74 | De 75 a 79 años | Unnamed: 76 | Unnamed: 77 | De 80 a 84 años | Unnamed: 79 | Unnamed: 80 | De 85 a 89 años | Unnamed: 82 | Unnamed: 83 | De 90 a 94 años | Unnamed: 85 | Unnamed: 86 | De 95 a 99 años | Unnamed: 88 | Unnamed: 89 | De 100 años y más | Unnamed: 91 | Unnamed: 92 | Edad desconocida | Unnamed: 94 | Unnamed: 95,
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS TRATADOS\MORTALIDAD\Bogota_panel_mortalidad_2020_2024.csv,.csv,True,5.0,1.0,"AÃ±o,c_001,c_002,c_003,c_004,c_005,c_006,c_007,c_008,c_009,c_010,c_011,c_012,c_013,c_014,c_015,c_016,c_017,c_018,c_019,c_020,c_021,c_022,c_023,c_024,c_025,c_026,c_027,c_028,c_029,c_030,c_031,c_032,c_033,c_034,c_035,c_036,c_037,c_038,c_039,c_040,c_041,c_042,c_043,c_044,c_045,c_046,c_047,c_048,c_049,c_050,c_051,c_052,c_053,c_054,c_055,c_056,c_057,c_058,c_059,c_060,c_061,c_062,c_063,c_064,c_065,c_066,c_067,c_068,c_069,c_070,c_071,c_072,c_073,c_074,c_075,c_076,c_077,c_078,c_079,c_080,c_081,c_082,c_083,c_084,c_085,c_086,c_087,c_088,c_089,c_090,c_091,c_092,c_093,c_094,c_095,c_096,c_097,c_098,c_099,c_100,c_101,c_102,c_103,c_104,c_105,def_I,def_J",
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORBILIDAD\metadato-morbilidad-bogota-identificada-en-rips.csv,.csv,False,,,,'utf-8' codec can't decode byte 0xe1 in position 38: invalid continuation byte
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORBILIDAD\descargable_rips_general_2020_1.csv,.csv,False,,,,"Error tokenizing data. C error: Expected 1 fields in line 3, saw 2
"
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORBILIDAD\descargable_rips_general_2020_2.csv,.csv,False,,,,"Error tokenizing data. C error: Expected 1 fields in line 5, saw 2
"
d:\TRABAJO DE GRADO BEN-MAP\BASES DE DATOS\MORBILIDAD Y MORTALIDAD\DATOS CRUDO\MORBILIDAD\descargable_rips_general_2021_1.csv,.csv,False,,,,"Error tokenizing data. C error: Expected 2 fields in line 72, saw 3
"
