Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,1,2026,1706,ALL,ALL,FEMALE,0-4
1,1,2026,1798,ALL,ALL,MALE,0-4
1,1,2026,16303,ALL,ALL,FEMALE,15-44
1,1,2026,16426,ALL,ALL,MALE,15-44
1,1,2026,8025,ALL,ALL,FEMALE,45-64
1,1,2026,6790,ALL,ALL,MALE,45-64
1,1,2026,3874,ALL,ALL,FEMALE,5-14
1,1,2026,4079,ALL,ALL,MALE,5-14
1,1,2026,4132,ALL,ALL,FEMALE,65+
1,1,2026,2874,ALL,ALL,MALE,65+
1,2,2026,1379,ALL,ALL,FEMALE,0-4
1,2,2026,1453,ALL,ALL,MALE,0-4
1,2,2026,13172,ALL,ALL,FEMALE,15-44
1,2,2026,13272,ALL,ALL,MALE,15-44
1,2,2026,6484,ALL,ALL,FEMALE,45-64
1,2,2026,5486,ALL,ALL,MALE,45-64
1,2,2026,3130,ALL,ALL,FEMALE,5-14
1,2,2026,3296,ALL,ALL,MALE,5-14
1,2,2026,3339,ALL,ALL,FEMALE,65+
1,2,2026,2322,ALL,ALL,MALE,65+
1,3,2026,160,ALL,ALL,FEMALE,0-4
1,3,2026,168,ALL,ALL,MALE,0-4
1,3,2026,1526,ALL,ALL,FEMALE,15-44
1,3,2026,1538,ALL,ALL,MALE,15-44
1,3,2026,751,ALL,ALL,FEMALE,45-64
1,3,2026,636,ALL,ALL,MALE,45-64
1,3,2026,363,ALL,ALL,FEMALE,5-14
1,3,2026,382,ALL,ALL,MALE,5-14
1,3,2026,387,ALL,ALL,FEMALE,65+
1,3,2026,269,ALL,ALL,MALE,65+
2,1,2026,927,ALL,ALL,FEMALE,0-4
2,1,2026,977,ALL,ALL,MALE,0-4
2,1,2026,8854,ALL,ALL,FEMALE,15-44
2,1,2026,8921,ALL,ALL,MALE,15-44
2,1,2026,4358,ALL,ALL,FEMALE,45-64
2,1,2026,3687,ALL,ALL,MALE,45-64
2,1,2026,2104,ALL,ALL,FEMALE,5-14
2,1,2026,2215,ALL,ALL,MALE,5-14
2,1,2026,2244,ALL,ALL,FEMALE,65+
2,1,2026,1561,ALL,ALL,MALE,65+
2,2,2026,2285,ALL,ALL,FEMALE,0-4
2,2,2026,2408,ALL,ALL,MALE,0-4
2,2,2026,21828,ALL,ALL,FEMALE,15-44
2,2,2026,21993,ALL,ALL,MALE,15-44
2,2,2026,10744,ALL,ALL,FEMALE,45-64
2,2,2026,9090,ALL,ALL,MALE,45-64
2,2,2026,5186,ALL,ALL,FEMALE,5-14
2,2,2026,5461,ALL,ALL,MALE,5-14
2,2,2026,5532,ALL,ALL,FEMALE,65+
2,2,2026,3848,ALL,ALL,MALE,65+
2,3,2026,998,ALL,ALL,FEMALE,0-4
2,3,2026,1052,ALL,ALL,MALE,0-4
2,3,2026,9539,ALL,ALL,FEMALE,15-44
2,3,2026,9611,ALL,ALL,MALE,15-44
2,3,2026,4695,ALL,ALL,FEMALE,45-64
2,3,2026,3973,ALL,ALL,MALE,45-64
2,3,2026,2267,ALL,ALL,FEMALE,5-14
2,3,2026,2387,ALL,ALL,MALE,5-14
2,3,2026,2418,ALL,ALL,FEMALE,65+
2,3,2026,1681,ALL,ALL,MALE,65+
3,1,2026,17,ALL,ALL,FEMALE,0-4
3,1,2026,19,ALL,ALL,MALE,0-4
3,1,2026,168,ALL,ALL,FEMALE,15-44
3,1,2026,170,ALL,ALL,MALE,15-44
3,1,2026,83,ALL,ALL,FEMALE,45-64
3,1,2026,70,ALL,ALL,MALE,45-64
3,1,2026,40,ALL,ALL,FEMALE,5-14
3,1,2026,42,ALL,ALL,MALE,5-14
3,1,2026,43,ALL,ALL,FEMALE,65+
3,1,2026,30,ALL,ALL,MALE,65+
3,2,2026,1663,ALL,ALL,FEMALE,0-4
3,2,2026,1753,ALL,ALL,MALE,0-4
3,2,2026,15890,ALL,ALL,FEMALE,15-44
3,2,2026,16010,ALL,ALL,MALE,15-44
3,2,2026,7822,ALL,ALL,FEMALE,45-64
3,2,2026,6618,ALL,ALL,MALE,45-64
3,2,2026,3776,ALL,ALL,FEMALE,5-14
3,2,2026,3976,ALL,ALL,MALE,5-14
3,2,2026,4027,ALL,ALL,FEMALE,65+
3,2,2026,2801,ALL,ALL,MALE,65+
3,3,2026,2233,ALL,ALL,FEMALE,0-4
3,3,2026,2354,ALL,ALL,MALE,0-4
3,3,2026,21340,ALL,ALL,FEMALE,15-44
3,3,2026,21501,ALL,ALL,MALE,15-44
3,3,2026,10504,ALL,ALL,FEMALE,45-64
3,3,2026,8887,ALL,ALL,MALE,45-64
3,3,2026,5071,ALL,ALL,FEMALE,5-14
3,3,2026,5339,ALL,ALL,MALE,5-14
3,3,2026,5409,ALL,ALL,FEMALE,65+
3,3,2026,3762,ALL,ALL,MALE,65+
3,4,2026,919,ALL,ALL,FEMALE,0-4
3,4,2026,968,ALL,ALL,MALE,0-4
3,4,2026,8777,ALL,ALL,FEMALE,15-44
3,4,2026,8844,ALL,ALL,MALE,15-44
