mpio,dpmp,year,age_group,male,female,total
11001,"Bogotá, D.C.",2020,0-4,242570.0,230230.0,472800.0
11001,"Bogotá, D.C.",2020,0-4,887.0,822.0,1709.0
11001,"Bogotá, D.C.",2020,0-4,243457.0,231052.0,474509.0
11001,"Bogotá, D.C.",2020,15-44,1888557.0,1919124.0,3807681.0
11001,"Bogotá, D.C.",2020,15-44,6958.0,6185.0,13143.0
11001,"Bogotá, D.C.",2020,15-44,1895515.0,1925309.0,3820824.0
11001,"Bogotá, D.C.",2020,45-64,746666.0,896969.0,1643635.0
11001,"Bogotá, D.C.",2020,45-64,2972.0,2650.0,5622.0
11001,"Bogotá, D.C.",2020,45-64,749638.0,899619.0,1649257.0
11001,"Bogotá, D.C.",2020,5-14,540665.0,518277.0,1058942.0
11001,"Bogotá, D.C.",2020,5-14,2222.0,2154.0,4376.0
11001,"Bogotá, D.C.",2020,5-14,542887.0,520431.0,1063318.0
11001,"Bogotá, D.C.",2020,65+,289917.0,418537.0,708454.0
11001,"Bogotá, D.C.",2020,65+,1108.0,1030.0,2138.0
11001,"Bogotá, D.C.",2020,65+,291025.0,419567.0,710592.0
11001,"Bogotá, D.C.",2021,0-4,239364.0,227173.0,466537.0
11001,"Bogotá, D.C.",2021,0-4,898.0,831.0,1729.0
11001,"Bogotá, D.C.",2021,0-4,240262.0,228004.0,468266.0
11001,"Bogotá, D.C.",2021,15-44,1920953.0,1943811.0,3864764.0
11001,"Bogotá, D.C.",2021,15-44,7217.0,6394.0,13611.0
11001,"Bogotá, D.C.",2021,15-44,1928170.0,1950205.0,3878375.0
11001,"Bogotá, D.C.",2021,45-64,759526.0,910520.0,1670046.0
11001,"Bogotá, D.C.",2021,45-64,3069.0,2730.0,5799.0
11001,"Bogotá, D.C.",2021,45-64,762595.0,913250.0,1675845.0
11001,"Bogotá, D.C.",2021,5-14,535371.0,512555.0,1047926.0
11001,"Bogotá, D.C.",2021,5-14,2228.0,2160.0,4388.0
11001,"Bogotá, D.C.",2021,5-14,537599.0,514715.0,1052314.0
11001,"Bogotá, D.C.",2021,65+,298138.0,430583.0,728721.0
11001,"Bogotá, D.C.",2021,65+,1150.0,1071.0,2221.0
11001,"Bogotá, D.C.",2021,65+,299288.0,431654.0,730942.0
11001,"Bogotá, D.C.",2022,0-4,234718.0,222726.0,457444.0
11001,"Bogotá, D.C.",2022,0-4,908.0,842.0,1750.0
11001,"Bogotá, D.C.",2022,0-4,235626.0,223568.0,459194.0
11001,"Bogotá, D.C.",2022,15-44,1936581.0,1952310.0,3888891.0
11001,"Bogotá, D.C.",2022,15-44,7454.0,6578.0,14032.0
11001,"Bogotá, D.C.",2022,15-44,1944035.0,1958888.0,3902923.0
11001,"Bogotá, D.C.",2022,45-64,771314.0,922666.0,1693980.0
11001,"Bogotá, D.C.",2022,45-64,3166.0,2810.0,5976.0
11001,"Bogotá, D.C.",2022,45-64,774480.0,925476.0,1699956.0
11001,"Bogotá, D.C.",2022,5-14,527267.0,504001.0,1031268.0
11001,"Bogotá, D.C.",2022,5-14,2231.0,2166.0,4397.0
11001,"Bogotá, D.C.",2022,5-14,529498.0,506167.0,1035665.0
11001,"Bogotá, D.C.",2022,65+,306564.0,443273.0,749837.0
11001,"Bogotá, D.C.",2022,65+,1196.0,1116.0,2312.0
11001,"Bogotá, D.C.",2022,65+,307760.0,444389.0,752149.0
11001,"Bogotá, D.C.",2023,0-4,229956.0,218236.0,448192.0
11001,"Bogotá, D.C.",2023,0-4,919.0,851.0,1770.0
11001,"Bogotá, D.C.",2023,0-4,230875.0,219087.0,449962.0
11001,"Bogotá, D.C.",2023,15-44,1945790.0,1953791.0,3899581.0
11001,"Bogotá, D.C.",2023,15-44,7667.0,6748.0,14415.0
11001,"Bogotá, D.C.",2023,15-44,1953457.0,1960539.0,3913996.0
11001,"Bogotá, D.C.",2023,45-64,783785.0,935051.0,1718836.0
11001,"Bogotá, D.C.",2023,45-64,3264.0,2889.0,6153.0
11001,"Bogotá, D.C.",2023,45-64,787049.0,937940.0,1724989.0
11001,"Bogotá, D.C.",2023,5-14,518512.0,494777.0,1013289.0
11001,"Bogotá, D.C.",2023,5-14,2233.0,2169.0,4402.0
11001,"Bogotá, D.C.",2023,5-14,520745.0,496946.0,1017691.0
11001,"Bogotá, D.C.",2023,65+,317152.0,458316.0,775468.0
11001,"Bogotá, D.C.",2023,65+,1239.0,1168.0,2407.0
11001,"Bogotá, D.C.",2023,65+,318391.0,459484.0,777875.0
11001,"Bogotá, D.C.",2024,0-4,226242.0,214738.0,440980.0
11001,"Bogotá, D.C.",2024,0-4,927.0,860.0,1787.0
11001,"Bogotá, D.C.",2024,0-4,227169.0,215598.0,442767.0
11001,"Bogotá, D.C.",2024,15-44,1951968.0,1952980.0,3904948.0
11001,"Bogotá, D.C.",2024,15-44,7876.0,6902.0,14778.0
11001,"Bogotá, D.C.",2024,15-44,1959844.0,1959882.0,3919726.0
11001,"Bogotá, D.C.",2024,45-64,797553.0,947565.0,1745118.0
11001,"Bogotá, D.C.",2024,45-64,3367.0,2973.0,6340.0
11001,"Bogotá, D.C.",2024,45-64,800920.0,950538.0,1751458.0
11001,"Bogotá, D.C.",2024,5-14,508753.0,484745.0,993498.0
11001,"Bogotá, D.C.",2024,5-14,2239.0,2178.0,4417.0
11001,"Bogotá, D.C.",2024,5-14,510992.0,486923.0,997915.0
11001,"Bogotá, D.C.",2024,65+,330090.0,474804.0,804894.0
11001,"Bogotá, D.C.",2024,65+,1304.0,1221.0,2525.0
11001,"Bogotá, D.C.",2024,65+,331394.0,476025.0,807419.0
