LocNombre,area_km2,n_celdas,poblacion_total,casos_totales,valor_total_cop,part_casos_pct,part_valor_pct,casos_x_100k,valor_percapita_cop,densidad_pob_km2
SUMAPAZ,780.3494333400556,126,7662662.412896796,12.199967165408363,40415227318.112274,47.52243556646387,47.32194568764534,0.159213162580084,5274.306127605286,9819.527106079939
USME,214.89509952721198,46,2110150.223423484,3.364455544873169,11141589211.56972,13.105537062493843,13.045619548146687,0.15944151783728053,5279.998119514795,9819.44319840703
CIUDAD BOLIVAR,129.8989774492103,31,1275520.6809813357,2.042678401297621,6889204465.394264,7.956829013762705,8.066527919697434,0.16014467125112108,5401.091936897472,9819.328111955743
SUBA,100.47996819110321,20,986644.6160009813,1.5963888589087663,5100681732.534252,6.218400890587418,5.972357448767278,0.16179978413901144,5169.725400426428,9819.316563919272
USAQUEN,65.1490745734869,18,639726.475749606,0.9669571658740723,3503405010.6372347,3.766580597124335,4.102115777557463,0.1511516566109024,5476.410846576397,9819.425370778014
SAN CRISTOBAL,49.05921745901747,14,481725.6252340402,0.7519162365338997,2514809539.4123487,2.928933366589449,2.944575308265323,0.15608807112318154,5220.418860197775,9819.268430778757
SANTA FE,45.13440463764924,11,443191.64603509073,0.7053191514583419,2345011773.264552,2.74742410979678,2.745760128920073,0.15914540758344906,5291.191280890886,9819.375033151511
KENNEDY,38.558961840348026,11,378621.53686336306,0.6677392721085497,2192630869.8515987,2.6010395031185203,2.5673382490087238,0.17636061531003805,5791.088610584969,9819.287625819174
CHAPINERO,37.97842029234513,13,372926.6487551234,0.593682670002082,2021800079.0150158,2.312567406910378,2.36731350729155,0.15919556083853761,5421.441685017796,9819.435507966346
ENGATIVA,35.85229503034877,12,352045.9179050161,0.5640911886179497,1911374015.4009452,2.1972999436190888,2.238016296027229,0.16023227650949345,5429.331567811686,9819.341205549357
FONTIBON,33.25444672779019,10,326538.43538635905,0.5798386785400844,1900398047.646523,2.2586410165098485,2.225164601643431,0.17757134098288352,5819.82958728267,9819.39161578281
BOSA,23.91415328217318,10,234824.26708782828,0.37694510147434174,1265470669.0280204,1.4683112711729158,1.4817319669562925,0.16052220928825803,5389.011471096012,9819.468175060923
PUENTE ARANDA,17.297316014084448,7,169848.67937511925,0.2994092083832901,844222758.2355504,1.1662863203226161,0.9884953312038642,0.17627997431880527,4970.440520005707,9819.366151188942
TEUSAQUILLO,14.181810212883097,7,139253.35648645076,0.2218283021363825,757382834.3615412,0.8640860300824796,0.886814988576088,0.15929835210684218,5438.8838694544065,9819.152449237381
RAFAEL URIBE URIBE,13.823030443850236,8,135733.0117693381,0.21689661243160627,693955136.4312853,0.8448756581977471,0.8125478799706441,0.15979650757340882,5112.6481862096925,9819.338264549993
BARRIOS UNIDOS,11.893917109330001,6,116788.21836728427,0.17978814054984293,649790601.5999782,0.7003273212996612,0.7608358927496639,0.153943730851713,5563.836923656703,9819.155228152005
TUNJUELITO,9.903029657482353,6,97241.17758407132,0.13845033667459455,613701910.3336043,0.539304500952189,0.718579862006514,0.1423783011624836,6311.132028435372,9819.33619784725
LOS MARTIRES,6.508833856959056,4,63911.56329621607,0.1031155664527722,316258915.74076945,0.40166525009555337,0.3703056552452253,0.161341017391257,4948.383350834008,9819.20336280879
ANTONIO NARIÑO,4.875642078840092,3,47874.894548634125,0.0728670695828611,226727804.50372034,0.28383851958118334,0.265474217580258,0.15220309155738912,4735.83924604569,9819.197917830648
CANDELARIA,2.0585930624811777,4,20213.612250295948,0.02968112498987113,101187414.45924896,0.11561665131941343,0.11847973274092907,0.14683731251170393,5005.904595689842,9819.139400932849
