Corrida,Contaminante,Endpoint,Localidad,Participación valor económico (%),_localidad_norm
NO2_ASTHMA,NO2,Asma,USME,13.349437698432242,usme
NO2_ASTHMA,NO2,Asma,CIUDAD BOLIVAR,7.811482384324661,ciudad_bolivar
NO2_ASTHMA,NO2,Asma,SUBA,6.2853843562583815,suba
NO2_ASTHMA,NO2,Asma,USAQUEN,3.5276112001389897,usaquen
NO2_ASTHMA,NO2,Asma,SAN CRISTOBAL,3.236828982452877,san_cristobal
NO2_ASTHMA,NO2,Asma,SANTA FE,3.1237370728217466,santa_fe
NO2_ASTHMA,NO2,Asma,FONTIBON,2.484786896636316,fontibon
NO2_ASTHMA,NO2,Asma,KENNEDY,2.4485146897749908,kennedy
NO2_ASTHMA,NO2,Asma,ENGATIVA,2.154896858902989,engativa
NO2_ASTHMA,NO2,Asma,CHAPINERO,2.111039384365333,chapinero
NO2_ASTHMA,NO2,Asma,PUENTE ARANDA,1.355491888732928,puente_aranda
NO2_ASTHMA,NO2,Asma,BOSA,1.2867665342105243,bosa
NO2_ASTHMA,NO2,Asma,RAFAEL URIBE URIBE,1.1260285575657554,rafael_uribe_uribe
NO2_ASTHMA,NO2,Asma,LOS MARTIRES,0.5790302183570407,los_martires
NO2_ASTHMA,NO2,Asma,TEUSAQUILLO,0.5098923383939775,teusaquillo
NO2_ASTHMA,NO2,Asma,BARRIOS UNIDOS,0.4961007122195615,barrios_unidos
NO2_ASTHMA,NO2,Asma,TUNJUELITO,0.4249830926350808,tunjuelito
NO2_CLD,NO2,Enfermedad pulmonar crónica,USME,13.349363741199635,usme
NO2_CLD,NO2,Enfermedad pulmonar crónica,CIUDAD BOLIVAR,7.811427907045949,ciudad_bolivar
NO2_CLD,NO2,Enfermedad pulmonar crónica,SUBA,6.285580217825836,suba
NO2_CLD,NO2,Enfermedad pulmonar crónica,USAQUEN,3.5273466342635564,usaquen
NO2_CLD,NO2,Enfermedad pulmonar crónica,SAN CRISTOBAL,3.236539173145911,san_cristobal
NO2_CLD,NO2,Enfermedad pulmonar crónica,SANTA FE,3.1237831332089776,santa_fe
NO2_CLD,NO2,Enfermedad pulmonar crónica,FONTIBON,2.48513955400644,fontibon
NO2_CLD,NO2,Enfermedad pulmonar crónica,KENNEDY,2.44888387274988,kennedy
NO2_CLD,NO2,Enfermedad pulmonar crónica,ENGATIVA,2.1549289628322668,engativa
NO2_CLD,NO2,Enfermedad pulmonar crónica,CHAPINERO,2.1110177225569733,chapinero
NO2_CLD,NO2,Enfermedad pulmonar crónica,PUENTE ARANDA,1.3558777948524623,puente_aranda
NO2_CLD,NO2,Enfermedad pulmonar crónica,BOSA,1.2867146513859764,bosa
NO2_CLD,NO2,Enfermedad pulmonar crónica,RAFAEL URIBE URIBE,1.1260915310627404,rafael_uribe_uribe
NO2_CLD,NO2,Enfermedad pulmonar crónica,LOS MARTIRES,0.5790246901719064,los_martires
NO2_CLD,NO2,Enfermedad pulmonar crónica,TEUSAQUILLO,0.5098255739489489,teusaquillo
NO2_CLD,NO2,Enfermedad pulmonar crónica,BARRIOS UNIDOS,0.4960282422779828,barrios_unidos
NO2_CLD,NO2,Enfermedad pulmonar crónica,TUNJUELITO,0.4248938956279554,tunjuelito
O3_MAIN,O3,Respiratoria,USME,13.242016778099211,usme
O3_MAIN,O3,Respiratoria,CIUDAD BOLIVAR,7.958004779313407,ciudad_bolivar
O3_MAIN,O3,Respiratoria,SUBA,5.850976630056858,suba
O3_MAIN,O3,Respiratoria,USAQUEN,4.1218671262265865,usaquen
O3_MAIN,O3,Respiratoria,SAN CRISTOBAL,3.2975049409193,san_cristobal
O3_MAIN,O3,Respiratoria,SANTA FE,3.1401248030236752,santa_fe
O3_MAIN,O3,Respiratoria,FONTIBON,2.5495977063927877,fontibon
O3_MAIN,O3,Respiratoria,KENNEDY,2.340110526539397,kennedy
O3_MAIN,O3,Respiratoria,CHAPINERO,2.240626820144362,chapinero
O3_MAIN,O3,Respiratoria,ENGATIVA,2.2097759060871,engativa
O3_MAIN,O3,Respiratoria,BOSA,1.2987547697798008,bosa
