run_id,pollutant,percentile_hbm,endpoint_group,endpoint,economic_method,n_rows,n_unique_cells,delta_mean,delta_min,delta_max,baseline_cases_total,avoided_cases_total,valuation_value_used_usd_2015,economic_value_total_usd_2015,economic_value_total_cop_2015
NO2_ASTHMA,NO2,p05,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,254,254,-9.73643846927885,-11.35649483455882,0.1631554103265173,2676.9994719721,-86.70128591160409,11232.0,-973828.8433591371,-2700846129.0375314
NO2_ASTHMA,NO2,p50,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,254,254,1.4337929549698043,0.9526364032890892,1.9577644492160928,2676.9994719721,12.713526090919892,11232.0,142798.32505321223,396041158.65233034
NO2_ASTHMA,NO2,p95,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,254,254,62.38605116423267,1.9726843022782528,73.05495150495734,2676.9994719721,491.04416644477817,11232.0,5515408.077507748,15296598224.402315
NO2_CLD,NO2,p05,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,254,254,-9.73643846927885,-11.35649483455882,0.1631554103265173,3573.0000742320003,-63.917079584105785,15375.0,-982725.0986056265,-2725519270.2258024
NO2_CLD,NO2,p50,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,254,254,1.4337929549698043,0.9526364032890892,1.9577644492160928,3573.0000742320003,9.454137916977857,15375.0,145357.37047353454,403138491.9924149
NO2_CLD,NO2,p95,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,254,254,62.38605116423267,1.9726843022782528,73.05495150495734,3573.0000742320003,382.2728302011779,15375.0,5877444.764343111,16300681632.772112
O3_MAIN,O3,p05,Mortality,Respiratory mortality,VSL,254,254,-8.103975576084364,-9.96206915068187,0.3163802972402791,2119.999999998885,-14.718265107964102,8705114.0,-128124175.64704981,-355343432464.79736
O3_MAIN,O3,p50,Mortality,Respiratory mortality,VSL,254,254,1.1955636212189586,0.638176184258521,1.8052156665218284,2119.999999998885,2.204552731440561,8705114.0,19190882.84620147,53224570212.14053
O3_MAIN,O3,p95,Mortality,Respiratory mortality,VSL,254,254,51.93274256927376,1.2418272717325074,65.30999534941105,2119.999999998885,91.84750092472483,8705114.0,799542966.1648351,2217476448650.538
PM25_MAIN,PM25,p05,Mortality,All-cause mortality,VSL,254,254,-9.974680379764118,-11.828708327098202,0.1963949480490185,109.74459191191424,-9.03461868188823,8705114.0,-78647385.57236677,-218123018567.96918
PM25_MAIN,PM25,p50,Mortality,All-cause mortality,VSL,254,254,1.4780427685188642,1.0534566660882465,2.194635158055096,109.74459191191424,1.299799056965902,8705114.0,11314898.96798067,31381080244.76663
PM25_MAIN,PM25,p95,Mortality,All-cause mortality,VSL,254,254,63.55233217604886,2.205113251316636,77.38162760336996,109.74459191191424,42.67486484240145,8705114.0,371489563.3876966,1030300299786.3394
