run_id,pollutant,endpoint_group,endpoint,economic_method,economic_scenario,n_rows,n_unique_cells,avoided_cases_total,valuation_value_usd_2015,economic_value_total_usd_2015,economic_value_total_cop_2015,economic_usd_central,economic_cop_central,diferencia_usd_vs_central,razon_usd_vs_central,diferencia_cop_vs_central,razon_cop_vs_central
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,Escenario económico alto,254,254,12.71352609091988,13478.4,171357.9900638545,475249390.38279593,142798.3250532121,396041158.65233,28559.665010642406,1.2,79208231.73046595,1.2
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,Escenario económico bajo,254,254,12.71352609091988,8985.6,114238.66004256967,316832926.921864,142798.3250532121,396041158.65233,-28559.66501064242,0.7999999999999999,-79208231.73046601,0.7999999999999999
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,Escenario económico central,254,254,12.71352609091988,11232.0,142798.3250532121,396041158.65233,142798.3250532121,396041158.65233,0.0,1.0,0.0,1.0
NO2_CLD,NO2,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,Escenario económico alto,254,254,9.454137916977846,18450.0,174428.84456824124,483766190.3908973,145357.37047353436,403138491.9924144,29071.47409470688,1.2,80627698.39848286,1.2
NO2_CLD,NO2,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,Escenario económico bajo,254,254,9.454137916977846,12300.0,116285.8963788275,322510793.5939315,145357.37047353436,403138491.9924144,-29071.474094706864,0.8,-80627698.39848292,0.7999999999999999
NO2_CLD,NO2,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,Escenario económico central,254,254,9.454137916977846,15375.0,145357.37047353436,403138491.9924144,145357.37047353436,403138491.9924144,0.0,1.0,0.0,1.0
O3_MAIN,O3,Mortality,Respiratory mortality,VSL,Escenario económico alto,254,254,2.204552731440549,10446136.8,23029059.41544164,63869484254.568306,19190882.846201368,53224570212.14025,3838176.569240272,1.2,10644914042.428055,1.2000000000000002
O3_MAIN,O3,Mortality,Respiratory mortality,VSL,Escenario económico bajo,254,254,2.204552731440549,6964091.2,15352706.276961094,42579656169.712204,19190882.846201368,53224570212.14025,-3838176.569240274,0.7999999999999999,-10644914042.428047,0.8
O3_MAIN,O3,Mortality,Respiratory mortality,VSL,Escenario económico central,254,254,2.204552731440549,8705114.0,19190882.846201368,53224570212.14025,19190882.846201368,53224570212.14025,0.0,1.0,0.0,1.0
PM25_MAIN,PM25,Mortality,All-cause mortality,VSL,Escenario económico alto,254,254,1.29979905696589,10446136.8,13577878.76157668,37657296293.71961,11314898.967980566,31381080244.76634,2262979.793596115,1.2000000000000002,6276216048.953274,1.2000000000000002
PM25_MAIN,PM25,Mortality,All-cause mortality,VSL,Escenario económico bajo,254,254,1.29979905696589,6964091.2,9051919.174384452,25104864195.813072,11314898.967980566,31381080244.76634,-2262979.793596113,0.8,-6276216048.953266,0.8
PM25_MAIN,PM25,Mortality,All-cause mortality,VSL,Escenario económico central,254,254,1.29979905696589,8705114.0,11314898.967980566,31381080244.76634,11314898.967980566,31381080244.76634,0.0,1.0,0.0,1.0
