LocNombre,pollutant,endpoint_group,endpoint,casos_totales,valor_total_cop,poblacion_total,casos_x_100k,valor_percapita_cop
ANTONIO NARIÑO,NO2,Hospital Admissions,Asthma,0.036459363881098085,1135751.6877642432,47874.894548634125,0.07615549699866289,23.723325105405298
ANTONIO NARIÑO,NO2,Hospital Admissions,Chronic Lung Disease,0.027111605483360883,1156079.1524341577,47874.894548634125,0.05663011007955187,24.147920602931976
ANTONIO NARIÑO,O3,Mortality,Respiratory mortality,0.005697061641903423,137544297.77882445,47874.894548634125,0.011899893870504536,2872.994271331478
ANTONIO NARIÑO,PM25,Mortality,All-cause mortality,0.0035990385764987087,86891675.88469751,47874.894548634125,0.007517590608669841,1814.973729005875
BARRIOS UNIDOS,NO2,Hospital Admissions,Asthma,0.08780917351491505,2735358.1194117204,116788.21836728427,0.07518667100371908,23.421524513794388
BARRIOS UNIDOS,NO2,Hospital Admissions,Chronic Lung Disease,0.065293369215519,2784206.3056197264,116788.21836728427,0.055907496602251056,23.8397874763681
BARRIOS UNIDOS,O3,Mortality,Respiratory mortality,0.017711968778367858,427620492.9892821,116788.21836728427,0.015165886615947801,3661.5036941865947
BARRIOS UNIDOS,PM25,Mortality,All-cause mortality,0.008973629041041022,216650544.18566474,116788.21836728427,0.007683676629795042,1855.0719174799467
BOSA,NO2,Hospital Admissions,Asthma,0.18640130544562464,5806617.963817044,234824.26708782828,0.0793790640793983,24.727503830109985
BOSA,NO2,Hospital Admissions,Chronic Lung Disease,0.1386135429291602,5910687.48487757,234824.26708782828,0.05902862793874551,25.17068426606383
BOSA,O3,Mortality,Respiratory mortality,0.03225870722019726,778822752.9818859,234824.26708782828,0.01373738226472648,3316.6195412444017
BOSA,PM25,Mortality,All-cause mortality,0.019671545879359608,474930610.5974398,234824.26708782828,0.008377135005387715,2022.4937417554365
CANDELARIA,NO2,Hospital Admissions,Asthma,0.014641346213035542,456095.0028318184,20213.612250295948,0.07243310117824774,22.563755413144463
CANDELARIA,NO2,Hospital Admissions,Chronic Lung Disease,0.010886732676999352,464226.46175369347,20213.612250295948,0.053858422444211865,22.96603180101551
CANDELARIA,O3,Mortality,Respiratory mortality,0.0027056762431596406,65323207.34340921,20213.612250295948,0.013385416765971785,3231.6444252784563
CANDELARIA,PM25,Mortality,All-cause mortality,0.0014473698566765938,34943885.65125424,20213.612250295948,0.007160372123272538,1728.7303831972251
CHAPINERO,NO2,Hospital Admissions,Asthma,0.2928959583272954,9124050.548287632,372926.6487551234,0.0785398306356007,24.466072828919238
CHAPINERO,NO2,Hospital Admissions,Chronic Lung Disease,0.2178067005377248,9287601.42613726,372926.6487551234,0.05840470271158987,24.904633276115973
