LocNombre,area_km2,part_area_pct,n_celdas,part_celdas_pct,casos_totales,part_casos_pct_calc,valor_total_cop,part_valor_pct,casos_por_celda,casos_por_km2,valor_por_celda,valor_por_km2,poblacion_total,casos_x_100k,valor_percapita_cop
SUMAPAZ,780.3494333400556,47.72584930243306,126,34.33242506811989,12.199967165408363,47.52243556646387,40415227318.112274,47.32194568764534,0.09682513623339971,0.01563397965599847,320755772.36597043,51791191.985783614,7662662.412896796,0.159213162580084,5274.306127605286
USME,214.895099527212,13.142895602511139,46,12.534059945504087,3.364455544873169,13.105537062493843,11141589211.56972,13.045619548146687,0.07314033793202541,0.015656269278709774,242208461.12108085,51846641.62227146,2110150.223423484,0.1594415178372805,5279.998119514795
CIUDAD BOLIVAR,129.8989774492103,7.944567853078157,31,8.446866485013624,2.042678401297621,7.956829013762705,6889204465.394264,8.066527919697434,0.06589285165476197,0.015725130723960437,222232402.1094924,53035093.89123484,1275520.6809813357,0.160144671251121,5401.091936897472
SUBA,100.4799681911032,6.145313387716796,20,5.449591280653951,1.5963888589087665,6.218400890587419,5100681732.534252,5.972357448767278,0.07981944294543833,0.015887633004347583,255034086.62671262,50763170.25532142,986644.6160009812,0.1617997841390114,5169.725400426428
USAQUEN,65.1490745734869,3.984490514690053,18,4.9046321525885554,0.9669571658740724,3.7665805971243356,3503405010.6372347,4.102115777557463,0.053719842548559577,0.014842224117602214,194633611.7020686,53775207.60767617,639726.475749606,0.1511516566109024,5476.410846576397
SAN CRISTOBAL,49.05921745901747,3.000441493655886,14,3.8147138964577656,0.7519162365338997,2.928933366589449,2514809539.4123487,2.944575308265323,0.05370830260956427,0.015326706692010058,179629252.81516775,51260694.10938203,481725.6252340402,0.1560880711231815,5220.418860197775
SANTA FE,45.13440463764924,2.760401561223142,11,2.997275204359673,0.7053191514583419,2.74742410979678,2345011773.264552,2.745760128920073,0.06411992285984926,0.015627084418656408,213182888.47859564,51956191.55920894,443191.64603509073,0.159145407583449,5291.191280890886
KENNEDY,38.558961840348026,2.358250193344833,11,2.997275204359673,0.6677392721085497,2.6010395031185203,2192630869.8515987,2.567338249008724,0.06070357019168633,0.01731735607595712,199330079.07741806,56864364.733939335,378621.5368633631,0.176360615310038,5791.088610584969
CHAPINERO,37.97842029234513,2.3227445118513557,13,3.542234332425068,0.593682670002082,2.312567406910378,2021800079.015016,2.36731350729155,0.045667897692467846,0.015632105428085533,155523083.00115508,53235496.98623265,372926.6487551234,0.1591955608385376,5421.441685017796
FONTIBON,33.25444672779019,2.033828238169154,10,2.7247956403269753,0.5798386785400844,2.2586410165098485,1900398047.646523,2.225164601643431,0.05798386785400844,0.017436425368506366,190039804.7646523,57147185.85464818,326538.43538635905,0.1775713409828835,5819.82958728267
ENGATIVA,35.85229503034877,2.1927115682534897,12,3.2697547683923704,0.5640911886179497,2.1972999436190888,1911374015.4009447,2.238016296027229,0.04700759905149581,0.015733753951886472,159281167.95007873,53312459.18240317,352045.9179050161,0.1602322765094934,5429.331567811686
BOSA,23.91415328217318,1.462579745659819,10,2.7247956403269753,0.3769451014743417,1.4683112711729156,1265470669.0280204,1.4817319669562925,0.03769451014743417,0.015762427254965183,126547066.90280204,52917226.63546554,234824.26708782828,0.160522209288258,5389.011471096012
PUENTE ARANDA,17.297316014084448,1.0578967090311358,7,1.9073569482288828,0.2994092083832901,1.1662863203226161,844222758.2355504,0.9884953312038642,0.04277274405475573,0.017309576129585322,120603251.1765072,48806575.398642,169848.67937511925,0.1762799743188052,4970.440520005707
TEUSAQUILLO,14.181810212883097,0.867353659960712,7,1.9073569482288828,0.2218283021363825,0.8640860300824796,757382834.3615412,0.886814988576088,0.03168975744805464,0.01564174804249378,108197547.76593445,53405229.86787092,139253.35648645076,0.1592983521068421,5438.883869454407
RAFAEL URIBE URIBE,13.823030443850236,0.8454108373506747,8,2.1798365122615806,0.2168966124316062,0.8448756581977469,693955136.4312853,0.8125478799706441,0.027112076553950776,0.015690959613570258,86744392.05391066,50202821.96803095,135733.0117693381,0.1597965075734088,5112.6481862096925
BARRIOS UNIDOS,11.89391710933,0.7274270619328409,6,1.6348773841961852,0.1797881405498429,0.7003273212996611,649790601.5999782,0.7608358927496639,0.029964690091640486,0.015115973896338229,108298433.59999637,54632178.4175089,116788.21836728428,0.153943730851713,5563.836923656703
TUNJUELITO,9.903029657482351,0.6056652069926834,6,1.6348773841961852,0.1384503366745945,0.5393045009521887,613701910.3336043,0.718579862006514,0.023075056112432418,0.01398060406392772,102283651.72226739,61971127.17620861,97241.17758407132,0.1423783011624836,6311.132028435372
LOS MARTIRES,6.508833856959056,0.3980775925756757,4,1.0899182561307903,0.1031155664527722,0.40166525009555337,316258915.74076945,0.3703056552452253,0.02577889161319305,0.015842402605272223,79064728.93519236,48589182.43897632,63911.56329621607,0.161341017391257,4948.383350834008
ANTONIO NARIÑO,4.875642078840092,0.29819225742414524,3,0.8174386920980926,0.0728670695828611,0.28383851958118334,226727804.50372037,0.265474217580258,0.024289023194287034,0.014945122797077031,75575934.83457346,46502142.86395251,47874.894548634125,0.1522030915573891,4735.83924604569
CANDELARIA,2.0585930624811777,0.1259027021452285,4,1.0899182561307903,0.0296811249898711,0.1156166513194133,101187414.45924896,0.118479732740929,0.007420281247467775,0.014418160408107604,25296853.61481224,49153675.052848935,20213.612250295948,0.1468373125117039,5005.904595689842
