LocNombre,poblacion_total,casos_morbilidad,valor_morbilidad_cop,morbilidad_x_100k
SUMAPAZ,15325324.825793592,10.54171667627585,380045428.6426506,0.06878625279467751
USME,4220300.446846968,2.907314142812396,104813223.4713126,0.06888879546441966
CIUDAD BOLIVAR,2551041.3619626714,1.7599567697383045,63449238.57923475,0.06898973869966038
SUBA,1973289.2320019626,1.38719090883118,50010535.903558955,0.07029840767051834
USAQUEN,1279452.951499212,0.8230757738852137,29673064.508008156,0.06433028841902833
SAN CRISTOBAL,963451.2504680804,0.6487219481779805,23387325.84504174,0.06733313676875786
SANTA FE,886383.2920701815,0.6090986962088389,21958981.996188395,0.06871730341241723
KENNEDY,757243.0737267261,0.5777836567099585,20830259.471089613,0.07630094968930268
CHAPINERO,745853.2975102467,0.5107026588650202,18411651.97442489,0.0684722666735953
FONTIBON,653076.8707727181,0.5018739457825326,18093608.4991268,0.07684760680449719
ENGATIVA,704091.8358100322,0.4856475926741568,17508370.701687075,0.06897503535393743
BOSA,469648.53417565656,0.32501484837478484,11717305.448694613,0.06920384600907191
PUENTE ARANDA,339697.3587502385,0.2648371174632795,9547926.325219177,0.07796266607359764
TEUSAQUILLO,278506.7129729015,0.19074245852845567,6876556.095940346,0.06848756228975161
RAFAEL URIBE URIBE,271466.0235386762,0.188434488432697,6793384.497731535,0.06941365478315574
BARRIOS UNIDOS,233576.43673456853,0.15310254273043405,5519564.425031447,0.06554708380298507
TUNJUELITO,194482.35516814265,0.11319994119093468,4080998.056230694,0.05820576426744008
LOS MARTIRES,127823.12659243213,0.090150792956287,3250073.8986114385,0.07052776391844608
ANTONIO NARIÑO,95749.78909726825,0.06357096936445897,2291830.840198401,0.06639280353910738
CANDELARIA,40427.224500591896,0.025528078890034896,920321.464585512,0.0631457618112298
