LocNombre,casos_morbilidad,valor_morbilidad_cop,poblacion_total,morbilidad_x_100k
SUMAPAZ,10.54171667627585,380045428.6426506,7662662.412896796,0.13757250558935502
USME,2.907314142812396,104813223.4713126,2110150.223423484,0.13777759092883932
CIUDAD BOLIVAR,1.7599567697383045,63449238.57923475,1275520.6809813357,0.13797947739932076
SUBA,1.38719090883118,50010535.903558955,986644.6160009813,0.14059681534103668
USAQUEN,0.8230757738852137,29673064.508008156,639726.475749606,0.12866057683805665
SAN CRISTOBAL,0.6487219481779805,23387325.84504174,481725.6252340402,0.13466627353751573
SANTA FE,0.6090986962088389,21958981.996188395,443191.64603509073,0.13743460682483447
KENNEDY,0.5777836567099585,20830259.471089613,378621.53686336306,0.15260189937860535
CHAPINERO,0.5107026588650202,18411651.97442489,372926.6487551234,0.1369445333471906
FONTIBON,0.5018739457825326,18093608.4991268,326538.43538635905,0.15369521360899438
ENGATIVA,0.4856475926741568,17508370.701687075,352045.9179050161,0.13795007070787485
BOSA,0.32501484837478484,11717305.448694613,234824.26708782828,0.13840769201814382
PUENTE ARANDA,0.2648371174632795,9547926.325219177,169848.67937511925,0.15592533214719528
TEUSAQUILLO,0.19074245852845567,6876556.095940346,139253.35648645076,0.13697512457950323
RAFAEL URIBE URIBE,0.188434488432697,6793384.497731535,135733.0117693381,0.13882730956631148
BARRIOS UNIDOS,0.15310254273043405,5519564.425031447,116788.21836728427,0.13109416760597015
TUNJUELITO,0.11319994119093468,4080998.056230694,97241.17758407132,0.11641152853488015
LOS MARTIRES,0.090150792956287,3250073.8986114385,63911.56329621607,0.14105552783689215
ANTONIO NARIÑO,0.06357096936445897,2291830.840198401,47874.894548634125,0.13278560707821477
CANDELARIA,0.025528078890034896,920321.464585512,20213.612250295948,0.1262915236224596
