LocNombre,area_m2,n_celdas,poblacion_total,casos_totales,valor_total_cop,part_casos_pct,part_valor_pct,casos_x_100k,valor_percapita_cop,area_km2,densidad_pob_km2,_loc_norm
SUMAPAZ,3121397733.3602223,126,30650649.651587185,12.199967165408363,40415227318.112274,47.52243556646387,47.32194568764534,0.039803290645021,1318.5765319013215,3121.3977333602224,9819.527106079939,sumapaz
USME,859580398.1088479,46,8440600.893693935,3.364455544873169,11141589211.56972,13.105537062493843,13.045619548146687,0.03986037945932013,1319.9995298786987,859.5803981088478,9819.443198407032,usme
CIUDAD BOLIVAR,519595909.7968412,31,5102082.723925343,2.042678401297621,6889204465.394264,7.956829013762705,8.066527919697434,0.04003616781278027,1350.272984224368,519.5959097968412,9819.328111955743,ciudad bolivar
SUBA,401919872.7644128,20,3946578.464003925,1.5963888589087663,5100681732.534252,6.218400890587418,5.972357448767278,0.04044994603475286,1292.431350106607,401.91987276441284,9819.316563919272,suba
USAQUEN,260596298.29394758,18,2558905.902998424,0.9669571658740723,3503405010.6372347,3.766580597124335,4.102115777557463,0.0377879141527256,1369.1027116440991,260.5962982939476,9819.425370778014,usaquen
SAN CRISTOBAL,196236869.83606985,14,1926902.5009361608,0.7519162365338997,2514809539.4123487,2.928933366589449,2.944575308265323,0.039022017780795386,1305.1047150494437,196.23686983606984,9819.268430778757,san cristobal
SANTA FE,180537618.55059695,11,1772766.584140363,0.7053191514583419,2345011773.264552,2.74742410979678,2.745760128920073,0.039786351895862264,1322.7978202227216,180.53761855059696,9819.375033151511,santa fe
KENNEDY,154235847.36139214,11,1514486.1474534522,0.6677392721085497,2192630869.8515987,2.6010395031185203,2.5673382490087238,0.04409015382750951,1447.7721526462421,154.23584736139213,9819.287625819172,kennedy
CHAPINERO,151913681.16938055,13,1491706.5950204935,0.593682670002082,2021800079.0150158,2.312567406910378,2.36731350729155,0.039798890209634404,1355.360421254449,151.91368116938054,9819.435507966344,chapinero
ENGATIVA,143409180.12139508,12,1408183.6716200644,0.5640911886179497,1911374015.4009452,2.1972999436190888,2.238016296027229,0.040058069127373364,1357.3328919529215,143.40918012139508,9819.341205549357,engativa
FONTIBON,133017786.91116075,10,1306153.7415454362,0.5798386785400844,1900398047.646523,2.2586410165098485,2.225164601643431,0.04439283524572088,1454.9573968206676,133.01778691116075,9819.39161578281,fontibon
BOSA,95656613.12869273,10,939297.0683513131,0.37694510147434174,1265470669.0280204,1.4683112711729158,1.4817319669562925,0.04013055232206451,1347.252867774003,95.65661312869273,9819.468175060923,bosa
PUENTE ARANDA,69189264.05633779,7,679394.717500477,0.2994092083832901,844222758.2355504,1.1662863203226161,0.9884953312038642,0.044069993579701316,1242.6101300014268,69.18926405633779,9819.366151188942,puente aranda
TEUSAQUILLO,56727240.851532385,7,557013.425945803,0.2218283021363825,757382834.3615412,0.8640860300824796,0.886814988576088,0.039824588026710545,1359.7209673636016,56.727240851532386,9819.152449237381,teusaquillo
RAFAEL URIBE URIBE,55292121.775400944,8,542932.0470773524,0.21689661243160627,693955136.4312853,0.8448756581977471,0.8125478799706441,0.039949126893352206,1278.1620465524231,55.29212177540094,9819.338264549993,rafael uribe uribe
BARRIOS UNIDOS,47575668.437319994,6,467152.87346913706,0.17978814054984293,649790601.5999782,0.7003273212996612,0.7608358927496639,0.03848593271292825,1390.9592309141758,47.57566843732,9819.155228152007,barrios unidos
TUNJUELITO,39612118.629929416,6,388964.7103362853,0.13845033667459455,613701910.3336043,0.539304500952189,0.718579862006514,0.0355945752906209,1577.783007108843,39.61211862992941,9819.33619784725,tunjuelito
LOS MARTIRES,26035335.427836224,4,255646.25318486427,0.1031155664527722,316258915.74076945,0.40166525009555337,0.3703056552452253,0.04033525434781425,1237.095837708502,26.035335427836223,9819.20336280879,los martires
ANTONIO NARIÑO,19502568.315360367,3,191499.5781945365,0.0728670695828611,226727804.50372034,0.28383851958118334,0.265474217580258,0.03805077288934728,1183.9598115114225,19.502568315360367,9819.197917830648,antonio narino
CANDELARIA,8234372.24992471,4,80854.44900118379,0.02968112498987113,101187414.45924896,0.11561665131941343,0.11847973274092907,0.03670932812792598,1251.4761489224604,8.23437224992471,9819.139400932849,candelaria
